Name,Year,Position,Appearances,Wins,Losses,Nationality,Goals,Headed Goals,Right Footed Goals,Left Footed Goals,Hit Woodwork,Goals per Match,Penalties Scored,Freekicks Scored,Shots,Shots on Target,Shooting Accuracy,Big Chances Missed,Tackles,Blocked Shots,Interceptions,Clearances,Headed Clearances,Tackle Success,Recoveries,Duels Won,Duels Lost,Successful 50/50s,Aerials Battles Won,Aerial Battles Lost,Clean Sheets,Goals Conceded,Own Goals,Errors Lead to a Goal,Last Man Tackles,Clearances Off the Line,Assists,Passes,Passes per Game,Big Chances,Crosses,Cross Accuracy,Through Balls,Accurate Long Balls,Goalie Goals,Yellows,Reds,Fouls,Offsides,Saves,Penalties Saved,Punches,High claims,Catches,Sweeper Clearances,Throw Outs,Goal Kicks
Ritchie de Laet,2014,Defender,26,9,11,Belgium,0,0,0,0,0,,,,,,,,63,2,70,107,69,76,104,143,112,13,51,42,2,38,0,0,1,0,1,619,23.81,2,34,18,1,40,,3,0,25,0,,,,,,,,
Haris Vuckic,2014,Forward,1,0,1,Slovenia,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,0,7,7.0,0,0,,,,,0,0,0,0,,,,,,,,
Daniel Sturridge,2014,Forward,12,8,3,England,4,1,2,1,2,0.33,0,0,39,14,36,3,1,7,0,9,4,,,,,,,,,,,,,,1,250,20.83,3,4,,,,,0,0,5,6,,,,,,,,
Aleksandar Tonev,2014,Midfielder,0,0,0,Bulgaria,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,0,0,0.0,0,0,0,0,0,,0,0,0,0,,,,,,,,
William Buckley,2014,Midfielder,22,3,8,England,0,0,0,0,0,0.0,0,0,3,0,0,0,16,1,6,6,5,75,42,61,77,16,3,13,,,,0,,,2,190,8.64,1,26,23,0,2,,2,0,11,8,,,,,,,,
Marouane Chamakh,2014,Forward,18,4,8,Morocco,2,0,1,1,1,0.11,0,0,11,5,45,2,29,3,10,25,20,,,,,,,,,,,,,,0,468,26.0,0,3,,,,,4,0,40,6,,,,,,,,
Filipe Luís,2014,Defender,15,9,2,Brazil,0,0,0,0,0,,,,,,,,47,2,14,18,11,77,58,84,55,14,14,15,2,12,0,0,0,0,0,590,39.33,0,33,18,0,24,,1,0,19,0,,,,,,,,
Danny Whitehead,2014,Midfielder,0,0,0,England,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,0,0,0.0,0,0,0,0,0,,0,0,0,0,,,,,,,,
David de Gea,2014,Goalkeeper,37,20,8,Spain,,,,,,,,,,,,,,,,,,,,,,,,,10,36,0,1,,,0,1034,27.95,,,,,319,0,0,0,0,,93,1,7,30,11,21,148,253
Stephen Ireland,2014,Midfielder,17,8,6,Ireland,0,0,0,0,0,0.0,0,0,15,7,47,1,24,1,15,3,1,71,52,40,67,3,8,16,,,,0,,,3,445,26.18,0,16,56,0,12,,3,0,18,5,,,,,,,,
Michael Keane,2014,Defender,22,5,9,England,0,0,0,0,0,,,,,,,,22,2,43,170,122,73,71,108,48,3,79,33,2,27,0,0,1,1,1,644,29.27,0,0,0,1,58,,1,0,5,0,,,,,,,,
Sylvain Distin,2014,Defender,13,2,7,France,0,0,0,0,0,,,,,,,,21,0,21,118,77,67,52,73,34,7,41,22,0,26,0,1,0,0,0,691,53.15,0,0,0,0,33,,0,0,3,3,,,,,,,,
Andre Wisdom,2014,Defender,24,7,10,England,0,0,0,0,0,,,,,,,,26,1,30,67,30,77,131,63,58,13,18,14,8,29,0,0,0,1,1,888,37.0,0,48,21,0,37,,1,0,13,2,,,,,,,,
Aiden McGeady,2014,Midfielder,16,4,5,Ireland,1,0,1,0,0,0.06,0,0,22,3,14,0,15,7,6,3,1,80,43,43,75,16,3,15,,,,1,,,2,292,18.25,4,46,15,1,6,,1,0,16,0,,,,,,,,
Andreas Pereira,2014,Midfielder,1,1,0,Brazil,0,0,0,0,0,0.0,0,0,0,0,0,0,1,0,1,0,0,100,2,2,4,1,0,0,,,,0,,,0,6,6.0,0,0,0,0,0,,0,0,1,0,,,,,,,,
Nathan Mavila,2014,Defender,0,0,0,England,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,,0,0,0,0,,,,,,,,
Luke Garbutt,2014,Defender,4,0,4,England,0,0,0,0,0,,,,,,,,5,0,4,17,10,80,12,10,15,1,4,5,0,8,0,0,0,0,0,128,32.0,0,38,8,0,7,,1,0,1,0,,,,,,,,
Eric Dier,2014,Midfielder,28,13,9,England,2,1,0,1,0,0.07,0,0,12,2,17,1,49,6,48,113,76,80,101,146,97,22,65,42,,,,3,,,2,1229,43.89,3,47,21,1,71,,4,0,21,1,,,,,,,,
