Name,Year,Position,Appearances,Wins,Losses,Nationality,Goals,Headed Goals,Right Footed Goals,Left Footed Goals,Hit Woodwork,Goals per Match,Penalties Scored,Freekicks Scored,Shots,Shots on Target,Shooting Accuracy,Big Chances Missed,Tackles,Blocked Shots,Interceptions,Clearances,Headed Clearances,Tackle Success,Recoveries,Duels Won,Duels Lost,Successful 50/50s,Aerials Battles Won,Aerial Battles Lost,Clean Sheets,Goals Conceded,Own Goals,Errors Lead to a Goal,Last Man Tackles,Clearances Off the Line,Assists,Passes,Passes per Game,Big Chances,Crosses,Cross Accuracy,Through Balls,Accurate Long Balls,Goalie Goals,Yellows,Reds,Fouls,Offsides,Saves,Penalties Saved,Punches,High claims,Catches,Sweeper Clearances,Throw Outs,Goal Kicks
Marlon Harewood,2006,Forward,32,9,19,England,3,0,3,0,1,0.09,0,0,56,15,27,0,18,13,7,9,0,,,,,,,,,,,,,,1,459,14.34,0,27,,,,,5,0,47,22,,,,,,,,
Carlos Vela,2006,Forward,0,0,0,Mexico,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,0.0,0,0,,,,,0,0,0,0,,,,,,,,
Daniel Sturridge,2006,Forward,2,0,2,England,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,4,2.0,0,0,,,,,0,0,0,0,,,,,,,,
Kevin Davies,2006,Forward,30,12,12,England,8,2,4,2,0,0.27,0,0,39,17,44,0,63,10,8,43,0,,,,,,,,,,,,,,5,932,31.07,0,50,,,,,10,1,91,6,,,,,,,,
Colin Kazim-Richards,2006,Forward,27,9,13,Turkey,1,0,1,0,0,0.04,0,0,32,10,31,0,38,9,7,11,0,,,,,,,,,,,,,,3,413,15.3,0,85,,,,,2,0,35,11,,,,,,,,
Arjen Robben,2006,Midfielder,21,16,2,Netherlands,2,0,1,1,3,0.1,0,0,40,15,38,0,25,4,11,4,0,76,0,80,107,27,2,11,,,,0,,,4,416,19.81,0,135,24,0,12,,1,0,10,11,,,,,,,,
Edgar Davids,2006,Midfielder,9,2,4,Netherlands,0,0,0,0,0,0.0,0,0,7,1,14,0,20,3,3,7,0,80,0,37,39,7,1,2,,,,0,,,1,242,26.89,0,8,13,0,20,,1,0,14,2,,,,,,,,
Neil Shipperley,2006,Forward,0,0,0,England,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,0.0,0,0,,,,,0,0,0,0,,,,,,,,
Stephen Ireland,2006,Midfielder,24,3,15,Ireland,1,0,0,1,0,0.04,0,0,13,3,23,0,49,3,14,13,0,94,0,70,95,6,2,9,,,,0,,,1,521,21.71,0,22,14,0,21,,0,0,22,0,,,,,,,,
John Pantsil,2006,Defender,5,1,3,Ghana,0,0,0,0,0,,,,,,,,9,0,2,11,0,89,0,23,14,4,4,3,0,6,0,0,0,0,0,148,29.6,0,19,37,0,8,,1,0,5,0,,,,,,,,
Craig Short,2006,Defender,0,0,0,England,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,,0,0,0,0,,,,,,,,
Stephen Bywater,2006,Goalkeeper,0,0,0,England,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,0,0,0.0,,,,,0,0,0,0,0,,0,0,0,0,0,0,0,0
Sylvain Distin,2006,Defender,37,11,17,France,2,0,1,1,0,,,,,,,,114,0,40,328,0,79,0,258,107,8,105,47,14,39,0,0,0,2,0,1152,31.14,0,19,26,0,69,,1,0,22,2,,,,,,,,
Mark Viduka,2006,Forward,29,11,12,Australia,14,2,9,3,0,0.48,0,0,58,26,45,0,17,7,1,14,0,,,,,,,,,,,,,,3,678,23.38,0,7,,,,,1,0,28,18,,,,,,,,
Darius Vassell,2006,Forward,32,10,15,England,3,0,2,1,0,0.09,0,0,40,15,38,0,71,11,3,6,0,,,,,,,,,,,,,,1,657,20.53,0,82,,,,,6,0,49,39,,,,,,,,
