,Name,Year,Position,Appearances,Wins,Losses,Nationality,Goals,Headed Goals,Right Footed Goals,Left Footed Goals,Hit Woodwork,Goals per Match,Penalties Scored,Freekicks Scored,Shots,Shots on Target,Shooting Accuracy,Big Chances Missed,Tackles,Blocked Shots,Interceptions,Clearances,Headed Clearances,Tackle Success,Recoveries,Duels Won,Duels Lost,Successful 50/50s,Aerials Battles Won,Aerial Battles Lost,Clean Sheets,Goals Conceded,Own Goals,Errors Lead to a Goal,Last Man Tackles,Clearances Off the Line,Assists,Passes,Passes per Game,Big Chances,Crosses,Cross Accuracy,Through Balls,Accurate Long Balls,Goalie Goals,Yellows,Reds,Fouls,Offsides,Saves,Penalties Saved,Punches,High claims,Catches,Sweeper Clearances,Throw Outs,Goal Kicks
175,David Murphy,2007,Defender,14,3,5,England,1,0,0,1,0,,,,,,,,29,2,15,82,14,66,69,45,38,1,7,7,0,26,0,0,0,0,2,352,25.14,0,29,17,0,26,,2,0,9,0,,,,,,,,
176,Scott Spencer,2007,Forward,0,0,0,England,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,0.0,0,0,,,,,0,0,0,0,,,,,,,,
177,Chris Baird,2007,Defender,18,2,8,Northern Ireland,0,0,0,0,0,,,,,,,,49,4,32,156,36,71,104,64,56,2,7,16,3,26,0,0,0,1,0,509,28.28,0,31,29,1,44,,1,1,22,0,,,,,,,,
178,Robbie Savage,2007,Midfielder,28,6,16,Wales,0,0,0,0,0,0.0,0,0,12,3,25,0,70,4,31,77,11,89,132,110,102,3,10,10,,,,0,,,0,715,25.54,0,46,11,0,46,,8,0,49,3,,,,,,,,
179,Gilberto Silva,2007,Midfielder,23,14,2,Brazil,1,0,1,0,0,0.04,0,0,15,2,13,0,54,5,28,99,32,83,84,85,47,5,12,7,,,,0,,,2,694,30.17,0,5,20,3,87,,1,0,16,0,,,,,,,,
180,Lee Sawyer,2007,Midfielder,0,0,0,England,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,0,0,0.0,0,0,0,0,0,,0,0,0,0,,,,,,,,
181,Kanu,2007,Forward,25,10,8,Nigeria,4,1,2,1,1,0.16,0,0,32,11,34,0,12,12,3,21,7,,,,,,,,,,,,,,3,463,18.52,0,7,,,,,1,0,36,19,,,,,,,,
182,Ryan Nelsen,2007,Defender,22,7,6,New Zealand,0,0,0,0,1,,,,,,,,47,0,32,349,108,74,146,140,57,4,69,12,6,28,1,0,1,0,0,770,35.0,0,2,0,0,65,,3,2,30,0,,,,,,,,
183,Lauren,2007,Defender,15,6,7,Cameroon,0,0,0,0,0,,,,,,,,31,0,22,39,5,71,46,52,46,4,5,6,3,15,0,0,0,0,0,385,25.67,0,32,13,0,22,,4,0,8,1,,,,,,,,
184,Eduardo da Silva,2007,Forward,17,11,1,Croatia,4,0,0,4,0,0.24,0,0,20,7,35,0,14,3,9,7,0,,,,,,,,,,,,,,3,338,19.88,0,30,,,,,3,0,19,4,,,,,,,,
