,Name,Year,Position,Appearances,Wins,Losses,Nationality,Goals,Headed Goals,Right Footed Goals,Left Footed Goals,Hit Woodwork,Goals per Match,Penalties Scored,Freekicks Scored,Shots,Shots on Target,Shooting Accuracy,Big Chances Missed,Tackles,Blocked Shots,Interceptions,Clearances,Headed Clearances,Tackle Success,Recoveries,Duels Won,Duels Lost,Successful 50/50s,Aerials Battles Won,Aerial Battles Lost,Clean Sheets,Goals Conceded,Own Goals,Errors Lead to a Goal,Last Man Tackles,Clearances Off the Line,Assists,Passes,Passes per Game,Big Chances,Crosses,Cross Accuracy,Through Balls,Accurate Long Balls,Goalie Goals,Yellows,Reds,Fouls,Offsides,Saves,Penalties Saved,Punches,High claims,Catches,Sweeper Clearances,Throw Outs,Goal Kicks
249,Mikkel Andersen,2007,Goalkeeper,0,0,0,Denmark,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,0,0,0.0,,,,,0,0,0,0,0,,0,0,0,0,0,0,0,0
250,Branislav Ivanovic,2007,Defender,0,0,0,Serbia,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,,0,0,0,0,,,,,,,,
251,Paul Dickov,2007,Forward,0,0,0,Scotland,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,0.0,0,0,,,,,0,0,0,0,,,,,,,,
252,Steed Malbranque,2007,Midfielder,37,10,14,France,4,0,3,1,2,0.11,0,0,49,12,24,0,159,20,54,41,4,76,233,262,233,39,5,8,,,,0,,,2,1332,36.0,0,91,18,14,56,,4,0,43,5,,,,,,,,
253,Vito Mannone,2007,Goalkeeper,0,0,0,Italy,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,0,0,0.0,,,,,0,0,0,0,0,,0,0,0,0,0,0,0,0
254,Obafemi Martins,2007,Forward,31,11,12,Nigeria,9,1,4,4,3,0.29,1,0,85,29,34,0,29,18,13,3,0,,,,,,,,,,,,,,2,559,18.03,0,44,,,,,1,0,27,14,,,,,,,,
255,Craig Fagan,2007,Forward,22,0,16,England,0,0,0,0,1,0.0,0,0,26,9,35,0,36,4,11,23,4,,,,,,,,,,,,,,0,380,17.27,0,68,,,,,6,0,39,5,,,,,,,,
256,Radhi Jaidi,2007,Defender,18,5,9,Tunisia,0,0,0,0,1,,,,,,,,47,1,37,282,89,64,81,119,78,3,56,34,1,31,0,0,1,0,0,380,21.11,0,1,0,0,27,,4,0,25,3,,,,,,,,
257,Stéphane Henchoz,2007,Defender,0,0,0,Switzerland,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,,0,0,0,0,,,,,,,,
258,Tom Cruise,2007,Defender,0,0,0,England,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,,0,0,0,0,,,,,,,,
259,Charles N'Zogbia,2007,Midfielder,32,8,16,France,3,0,1,2,0,0.09,0,1,43,13,30,0,57,13,45,102,41,74,205,182,206,62,26,24,,,,1,,,2,923,28.84,0,165,24,1,36,,6,0,33,4,,,,,,,,
260,Rostyn Griffiths,2007,Midfielder,0,0,0,Australia,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,0,0,0.0,0,0,0,0,0,,0,0,0,0,,,,,,,,
261,Ryan Crowther,2007,Midfielder,0,0,0,England,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,0,0,0.0,0,0,0,0,0,,0,0,0,0,,,,,,,,
262,Lee Barnard,2007,Forward,0,0,0,England,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,0.0,0,0,,,,,0,0,0,0,,,,,,,,
263,André Bikey,2007,Defender,22,7,10,Cameroon,3,2,0,1,1,,,,,,,,53,3,21,138,35,83,80,117,85,13,33,14,5,24,0,0,0,0,0,313,14.23,0,3,33,0,33,,7,0,40,1,,,,,,,,
264,Marvin Pourié,2007,Forward,0,0,0,Germany,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,0.0,0,0,,,,,0,0,0,0,,,,,,,,
265,Matt Oakley,2007,Midfielder,19,1,15,England,3,0,3,0,0,0.16,0,0,24,8,33,0,51,2,41,43,2,75,141,78,91,7,8,5,,,,0,,,0,791,41.63,0,42,33,1,56,,3,0,32,2,,,,,,,,
266,Mathieu Flamini,2007,Midfielder,30,19,1,France,3,0,2,1,0,0.1,0,0,46,15,33,0,84,16,57,126,33,67,212,161,141,20,28,20,,,,1,,,2,1710,57.0,0,19,32,4,129,,5,0,52,4,,,,,,,,
267,Mark Schwarzer,2007,Goalkeeper,34,9,14,Australia,,,,,,,,,,,,,,,,,,,,,,,,,8,47,0,1,,,0,696,20.47,,,,,191,0,2,0,0,,89,0,31,58,59,0,108,308
268,Owen Hargreaves,2007,Midfielder,23,15,5,England,2,0,2,0,0,0.09,0,2,24,5,21,0,82,7,38,56,12,80,126,113,60,12,10,2,,,,0,,,2,776,33.74,0,37,32,1,52,,2,0,15,1,,,,,,,,
269,Sergio Peter,2007,Midfielder,0,0,0,Germany,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,0,0,0.0,0,0,0,0,0,,0,0,0,0,,,,,,,,
270,Stephen O'Halloran,2007,Defender,0,0,0,Ireland,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,,0,0,0,0,,,,,,,,
271,Gareth Barry,2007,Midfielder,37,16,10,England,9,1,0,8,0,0.24,5,0,45,16,36,0,100,12,40,88,15,82,324,199,259,35,20,14,,,,0,,,10,1457,39.38,0,210,33,4,153,,5,0,72,4,,,,,,,,
272,Adam Bogdan,2007,Goalkeeper,0,0,0,Hungary,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,0,0,0.0,,,,,0,0,0,0,0,,0,0,0,0,0,0,0,0
273,Håvard Nordtveit,2007,Defender,0,0,0,Norway,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,,0,0,0,0,,,,,,,,
274,Andy Griffin,2007,Defender,15,1,12,England,0,0,0,0,0,,,,,,,,40,2,14,78,16,78,86,52,43,3,1,7,1,31,0,0,1,1,0,463,30.87,0,21,29,3,44,,4,0,13,0,,,,,,,,
275,Abdoulaye Méité,2007,Defender,21,5,11,Cote D'Ivoire,0,0,0,0,0,,,,,,,,29,3,38,244,79,86,122,78,53,5,31,14,5,31,0,1,0,1,0,445,21.19,0,1,100,0,39,,1,0,24,1,,,,,,,,
276,Zoltán Stieber,2007,Forward,0,0,0,Hungary,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,0.0,0,0,,,,,0,0,0,0,,,,,,,,
277,Robert Green,2007,Goalkeeper,38,13,15,England,,,,,,,,,,,,,,,,,,,,,,,,,8,50,0,1,,,0,804,21.16,,,,,235,0,2,0,1,,116,3,19,71,57,0,217,349
278,Paul Konchesky,2007,Defender,33,7,15,England,0,0,0,0,1,,,,,,,,54,3,53,161,35,78,200,107,91,16,16,13,6,52,0,0,1,1,1,1152,34.91,0,89,12,1,85,,5,1,18,2,,,,,,,,
279,Olivier Kapo,2007,Midfielder,26,5,15,France,5,1,0,4,0,0.19,1,0,43,16,37,0,56,12,29,31,4,75,133,141,247,39,21,56,,,,0,,,0,621,23.88,0,51,22,6,28,,5,0,34,11,,,,,,,,
280,Ole Gunnar Solskjaer,2007,Forward,0,0,0,Norway,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,0.0,0,0,,,,,0,0,0,0,,,,,,,,
281,Oliver Bozanic,2007,Midfielder,0,0,0,Australia,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,0,0,0.0,0,0,0,0,0,,0,0,0,0,,,,,,,,
282,Paulo Ferreira,2007,Defender,18,14,2,Portugal,0,0,0,0,0,,,,,,,,34,2,18,82,18,65,93,58,45,5,8,10,8,14,0,0,0,0,1,627,34.83,0,46,11,0,23,,1,0,9,0,,,,,,,,
283,Emanuel Pogatetz,2007,Defender,24,7,9,Austria,0,0,0,0,0,,,,,,,,45,4,32,261,73,73,118,119,99,12,31,32,5,29,1,0,0,0,0,587,24.46,0,21,10,0,24,,3,0,28,1,,,,,,,,
284,Shola Ameobi,2007,Forward,6,2,2,Nigeria,0,0,0,0,0,0.0,0,0,9,1,11,0,3,4,1,3,3,,,,,,,,,,,,,,0,71,11.83,0,2,,,,,0,0,16,5,,,,,,,,
285,Gabriel Zakuani,2007,Defender,0,0,0,The Democratic Republic Of Congo,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,,0,0,0,0,,,,,,,,
286,John O'Shea,2007,Defender,28,18,5,Ireland,0,0,0,0,0,,,,,,,,59,0,18,111,38,78,65,82,45,1,14,5,6,9,0,0,0,0,1,578,20.64,0,16,38,1,27,,1,0,14,1,,,,,,,,
287,Aaron Mokoena,2007,Midfielder,18,9,4,South Africa,0,0,0,0,0,0.0,0,0,4,0,0,0,14,1,15,39,12,57,48,33,30,1,10,7,,,,0,,,1,340,18.89,0,0,0,0,18,,2,0,12,0,,,,,,,,
288,Phil Neville,2007,Midfielder,37,18,11,England,2,0,1,1,0,0.05,0,0,17,6,35,0,87,4,53,133,37,71,247,133,104,5,16,14,,,,0,,,2,1532,41.41,0,84,31,0,90,,4,1,48,1,,,,,,,,
289,Fitz Hall,2007,Defender,1,0,1,England,0,0,0,0,0,,,,,,,,1,0,0,1,0,100,2,2,1,0,1,0,0,4,0,0,0,0,0,21,21.0,0,0,0,0,1,,0,0,1,0,,,,,,,,
290,Andriy Shevchenko,2007,Forward,17,9,2,Ukraine,5,1,4,0,0,0.29,1,0,28,13,46,0,6,6,2,5,3,,,,,,,,,,,,,,1,202,11.88,0,12,,,,,0,0,13,7,,,,,,,,
291,Marcos Painter,2007,Defender,0,0,0,Ireland,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,,0,0,0,0,,,,,,,,
292,Robbie Threlfall,2007,Defender,0,0,0,England,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,,0,0,0,0,,,,,,,,
293,Hossam Ghaly,2007,Midfielder,15,0,11,Egypt,0,0,0,0,0,0.0,0,0,7,2,29,0,40,2,34,22,4,65,89,98,78,21,6,4,,,,0,,,1,507,33.8,0,19,5,4,22,,2,0,20,0,,,,,,,,
294,Joe Hart,2007,Goalkeeper,26,9,9,England,,,,,,,,,,,,,,,,,,,,,,,,,7,34,0,1,,,0,600,23.08,,,,,158,0,0,0,1,,107,1,31,28,49,0,155,265
295,Carl Magnay,2007,Defender,0,0,0,Northern Ireland,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,,0,0,0,0,,,,,,,,
296,Jason Steele,2007,Goalkeeper,0,0,0,England,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,0,0,0.0,,,,,0,0,0,0,0,,0,0,0,0,0,0,0,0
297,Ryan Gazet Du Chattelier,2007,Forward,0,0,0,Australia,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,0.0,0,0,,,,,0,0,0,0,,,,,,,,
298,Daniel de Ridder,2007,Midfielder,10,2,7,Netherlands,0,0,0,0,0,0.0,0,0,14,3,21,0,9,9,5,10,0,100,36,30,38,7,1,6,,,,0,,,1,170,17.0,0,62,16,0,7,,1,0,7,1,,,,,,,,
299,Adam Hammill,2007,Midfielder,0,0,0,England,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,0,0,0.0,0,0,0,0,0,,0,0,0,0,,,,,,,,
300,Ian Walker,2007,Goalkeeper,0,0,0,England,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,0,0,0.0,,,,,0,0,0,0,0,,0,0,0,0,0,0,0,0
301,Michael Dawson,2007,Defender,27,7,9,England,1,1,0,0,1,,,,,,,,49,1,35,362,127,76,99,146,62,1,77,31,4,39,0,1,0,2,0,888,32.89,0,1,0,0,109,,3,0,19,1,,,,,,,,
302,Gabriel Agbonlahor,2007,Forward,37,15,10,England,11,3,7,1,3,0.3,0,0,75,37,49,0,34,9,12,17,2,,,,,,,,,,,,,,4,676,18.27,0,68,,,,,4,0,63,39,,,,,,,,
303,Ashley Grimes,2007,Midfielder,0,0,0,England,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,0,0,0.0,0,0,0,0,0,,0,0,0,0,,,,,,,,
304,Simon Dawkins,2007,Midfielder,0,0,0,Jamaica,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,0,0,0.0,0,0,0,0,0,,0,0,0,0,,,,,,,,
305,Dejan Stefanovic,2007,Defender,13,1,7,Serbia,0,0,0,0,0,,,,,,,,25,1,24,248,84,72,49,63,48,2,27,17,1,23,0,0,0,0,0,278,21.38,0,1,0,0,19,,4,0,21,0,,,,,,,,
306,Franck Songo'o,2007,Midfielder,1,0,1,Cameroon,0,0,0,0,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,1,4,3,1,1,0,,,,0,,,0,10,10.0,0,0,0,0,0,,0,0,0,0,,,,,,,,
307,Viktor Unnar Illugason,2007,Forward,0,0,0,Iceland,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,0.0,0,0,,,,,0,0,0,0,,,,,,,,
308,Charlie Daniels,2007,Defender,0,0,0,England,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,,0,0,0,0,,,,,,,,
309,Federico Macheda,2007,Forward,0,0,0,Italy,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,0.0,0,0,,,,,0,0,0,0,,,,,,,,
310,Alan Stubbs,2007,Defender,16,5,8,England,1,0,1,0,0,,,,,,,,27,5,22,233,75,81,38,60,39,1,15,15,2,26,0,1,1,0,0,283,17.69,0,2,0,0,40,,2,0,12,0,,,,,,,,
311,Nikolay Mihaylov,2007,Goalkeeper,0,0,0,Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,0,0,0.0,,,,,0,0,0,0,0,,0,0,0,0,0,0,0,0
312,Vedran Corluka,2007,Defender,35,14,11,Croatia,0,0,0,0,0,,,,,,,,66,3,53,221,42,80,196,158,122,22,30,25,10,46,0,0,0,0,2,1302,37.2,0,36,22,1,92,,4,0,25,1,,,,,,,,
313,Simon Cox,2007,Forward,0,0,0,Ireland,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,0.0,0,0,,,,,0,0,0,0,,,,,,,,
314,Scott Carson,2007,Goalkeeper,35,16,9,England,,,,,,,,,,,,,,,,,,,,,,,,,9,45,0,2,,,2,630,18.0,,,,,207,0,1,1,2,,80,1,11,32,35,0,84,336
315,David Edgar,2007,Defender,5,4,0,Canada,0,0,0,0,0,,,,,,,,5,0,2,30,12,100,10,13,6,0,6,1,1,2,0,0,0,0,0,63,12.6,0,1,0,0,1,,0,0,4,0,,,,,,,,
316,Ryan McGivern,2007,Defender,0,0,0,Northern Ireland,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,,0,0,0,0,,,,,,,,
317,Mikel San José,2007,Midfielder,0,0,0,Spain,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,0,0,0.0,0,0,0,0,0,,0,0,0,0,,,,,,,,
318,Juliano Belletti,2007,Defender,23,15,1,Brazil,2,0,2,0,0,,,,,,,,79,5,51,124,31,77,148,147,116,22,12,21,13,8,0,0,0,0,1,1004,43.65,0,83,27,0,78,,5,0,27,0,,,,,,,,
319,Przemyslaw Kazimierczak,2007,Goalkeeper,0,0,0,Poland,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,0,0,0.0,,,,,0,0,0,0,0,,0,0,0,0,0,0,0,0
320,Peter Enckelman,2007,Goalkeeper,0,0,0,Finland,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,0,0,0.0,,,,,0,0,0,0,0,,0,0,0,0,0,0,0,0
321,Tamás Kádár,2007,Defender,0,0,0,Hungary,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,,0,0,0,0,,,,,,,,
322,Julio Arca,2007,Midfielder,24,8,10,Argentina,2,1,0,1,0,0.08,0,0,23,3,13,0,79,10,37,52,6,82,185,131,150,22,7,12,,,,1,,,4,833,34.71,0,20,30,8,70,,6,0,45,0,,,,,,,,
323,Gaël Clichy,2007,Defender,38,24,3,France,0,0,0,0,0,,,,,,,,150,3,136,258,60,81,332,255,186,61,11,34,15,30,0,1,0,2,5,1974,51.95,0,126,21,3,106,,5,0,40,2,,,,,,,,
324,Eddie Nolan,2007,Defender,0,0,0,Ireland,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,,0,0,0,0,,,,,,,,
325,Zoltán Harsányi,2007,Forward,0,0,0,Slovakia,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,0.0,0,0,,,,,0,0,0,0,,,,,,,,
326,Collins John,2007,Forward,2,0,1,Netherlands,0,0,0,0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,7,3.5,0,0,,,,,0,0,1,0,,,,,,,,
327,Jonathan Grounds,2007,Defender,5,1,2,England,0,0,0,0,0,,,,,,,,9,1,5,35,13,56,30,24,17,4,7,6,1,6,1,0,0,0,0,123,24.6,0,6,0,0,7,,1,0,2,0,,,,,,,,
328,Michael Ballack,2007,Midfielder,18,12,0,Germany,7,3,4,0,0,0.39,2,1,44,21,48,0,38,9,16,27,7,76,107,84,101,4,19,17,,,,0,,,0,767,42.61,0,25,16,1,65,,5,0,29,5,,,,,,,,
329,Arnold Mvuemba,2007,Midfielder,8,3,4,France,0,0,0,0,0,0.0,0,0,1,0,0,0,10,1,7,0,0,70,14,16,23,2,3,3,,,,0,,,0,150,18.75,0,2,0,1,12,,0,0,6,1,,,,,,,,
330,Carl Parisio,2007,Defender,0,0,0,France,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,,0,0,0,0,,,,,,,,
331,James Troisi,2007,Forward,0,0,0,Australia,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,0.0,0,0,,,,,0,0,0,0,,,,,,,,
332,Emanuel Villa,2007,Forward,16,0,12,Argentina,3,2,1,0,0,0.19,0,0,19,7,37,0,8,3,11,15,3,,,,,,,,,,,,,,0,224,14.0,0,1,,,,,3,0,19,8,,,,,,,,
333,Aliaksandr Hleb,2007,Midfielder,31,19,2,Belarus,2,0,2,0,1,0.06,0,0,22,9,41,0,72,7,26,15,4,79,198,214,200,88,5,14,,,,0,,,6,1552,50.06,0,36,33,16,26,,4,0,33,1,,,,,,,,
334,Noé Pamarot,2007,Defender,18,7,6,France,1,0,0,1,1,,,,,,,,23,2,24,99,31,83,73,59,49,3,14,4,3,13,0,0,0,0,0,343,19.06,0,3,0,1,24,,3,0,18,1,,,,,,,,
335,Kalifa Cissé,2007,Defender,22,5,14,Mali,1,0,0,1,0,,,,,,,,36,4,21,81,16,78,58,67,61,0,20,13,0,27,0,1,0,1,1,237,10.77,0,1,0,0,17,,3,1,25,0,,,,,,,,
336,Tom Heaton,2007,Goalkeeper,0,0,0,England,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,0,0,0.0,,,,,0,0,0,0,0,,0,0,0,0,0,0,0,0
337,Ibrahima Sonko,2007,Defender,16,3,10,Senegal,0,0,0,0,0,,,,,,,,21,0,23,185,66,76,63,64,41,1,33,12,0,29,0,0,2,1,1,224,14.0,0,2,50,0,17,,2,1,14,0,,,,,,,,
338,Besian Idrizaj,2007,Forward,0,0,0,Austria,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,0.0,0,0,,,,,0,0,0,0,,,,,,,,
339,Michael Duberry,2007,Defender,13,4,7,England,0,0,0,0,1,,,,,,,,15,1,17,178,59,80,27,56,47,1,27,12,4,19,1,0,0,1,0,173,13.31,0,4,50,0,9,,2,0,31,2,,,,,,,,
340,Iain Turner,2007,Goalkeeper,0,0,0,Scotland,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,0,0,0.0,,,,,0,0,0,0,0,,0,0,0,0,0,0,0,0
341,Emile Heskey,2007,Forward,28,9,10,England,4,0,4,0,2,0.14,0,0,47,18,38,0,24,8,16,35,11,,,,,,,,,,,,,,2,604,21.57,0,9,,,,,6,0,47,35,,,,,,,,
342,Nicklas Bendtner,2007,Forward,27,14,3,Denmark,5,3,2,0,0,0.19,0,0,33,12,36,0,13,8,4,14,5,,,,,,,,,,,,,,3,431,15.96,0,22,,,,,1,1,10,9,,,,,,,,
343,Matthew Etherington,2007,Midfielder,18,8,5,England,3,0,0,3,0,0.17,0,0,10,6,60,0,26,2,5,10,0,85,88,59,75,13,0,6,,,,0,,,1,429,23.83,0,102,22,3,12,,2,0,8,5,,,,,,,,
344,Ryan Shawcross,2007,Defender,0,0,0,England,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,,0,0,0,0,,,,,,,,
345,Bruno Berner,2007,Defender,2,0,1,Switzerland,0,0,0,0,0,,,,,,,,6,0,2,14,3,67,9,12,12,1,3,2,0,4,0,0,0,0,0,53,26.5,0,3,33,0,1,,1,0,3,0,,,,,,,,
346,Gary Speed,2007,Midfielder,14,3,6,Wales,1,1,0,0,0,0.07,0,0,17,6,35,0,21,5,13,47,9,76,74,52,38,3,9,9,,,,0,,,0,392,28.0,0,16,31,0,41,,2,0,11,1,,,,,,,,
347,Ronald Huth,2007,Defender,0,0,0,Paraguay,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,,0,0,0,0,,,,,,,,
348,Antti Niemi,2007,Goalkeeper,22,2,11,Finland,,,,,,,,,,,,,,,,,,,,,,,,,2,39,0,1,,,0,457,20.77,,,,,157,0,0,0,0,,85,0,13,23,40,0,53,247
349,Ben Hinchliffe,2007,Goalkeeper,0,0,0,England,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,0,0,0.0,,,,,0,0,0,0,0,,0,0,0,0,0,0,0,0
350,Jermaine Pennant,2007,Midfielder,18,10,0,England,2,0,1,1,0,0.11,0,0,9,4,44,0,26,1,20,6,1,73,70,78,84,26,2,10,,,,0,,,2,426,23.67,0,112,28,1,14,,3,0,12,4,,,,,,,,
351,Danny Mills,2007,Defender,2,0,2,England,0,0,0,0,0,,,,,,,,1,0,1,9,1,0,9,1,3,0,0,1,0,1,0,0,0,0,0,39,19.5,0,1,100,0,2,,0,0,1,0,,,,,,,,
352,Ray Putterill,2007,Midfielder,0,0,0,England,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,0,0,0.0,0,0,0,0,0,,0,0,0,0,,,,,,,,
353,Anthony Grant,2007,Midfielder,0,0,0,England,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,0,0,0.0,0,0,0,0,0,,0,0,0,0,,,,,,,,
354,Gerard Piqué,2007,Defender,9,7,1,Spain,0,0,0,0,0,,,,,,,,10,0,5,63,19,90,33,22,21,0,9,4,2,3,0,0,0,1,0,233,25.89,0,0,0,1,21,,0,0,9,0,,,,,,,,
355,John Irving,2007,Defender,0,0,0,England,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,,0,0,0,0,,,,,,,,
356,Peter Hartley,2007,Defender,0,0,0,England,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,,0,0,0,0,,,,,,,,
357,Robert Malcolm,2007,Midfielder,1,0,1,Scotland,0,0,0,0,0,0.0,0,0,0,0,0,0,2,0,1,5,1,50,4,3,5,0,1,0,,,,1,,,0,12,12.0,0,0,0,0,0,,0,0,1,0,,,,,,,,
358,Geremi,2007,Midfielder,27,11,9,Cameroon,1,0,1,0,0,0.04,0,1,35,8,23,0,52,10,31,51,11,77,186,98,118,7,14,14,,,,0,,,7,997,36.93,0,199,20,1,79,,3,0,19,0,,,,,,,,
359,Curtis Davies,2007,Defender,12,7,1,England,1,1,0,0,0,,,,,,,,21,0,11,144,32,90,23,41,36,2,13,15,0,13,0,0,0,0,0,144,12.0,0,2,0,0,14,,1,0,7,0,,,,,,,,
360,Emiliano Insúa,2007,Defender,3,2,0,Argentina,0,0,0,0,0,,,,,,,,16,0,11,8,2,63,18,20,17,2,2,4,2,0,0,0,0,0,0,107,35.67,0,6,33,0,5,,1,0,5,0,,,,,,,,
361,Fábio Rochemback,2007,Midfielder,26,7,11,Brazil,1,0,1,0,0,0.04,0,1,42,6,14,0,80,24,44,45,7,74,172,146,150,27,3,15,,,,0,,,4,1148,44.15,0,95,27,7,114,,7,0,44,0,,,,,,,,
362,Ross Wallace,2007,Midfielder,21,3,13,Scotland,2,0,0,2,0,0.1,0,0,26,6,23,0,25,13,23,23,4,84,93,56,53,5,2,3,,,,0,,,2,479,22.81,0,115,26,0,33,,3,0,10,4,,,,,,,,
363,Moustapha Salifou,2007,Midfielder,4,2,2,Togo,0,0,0,0,0,0.0,0,0,1,0,0,0,5,0,2,0,0,100,7,7,0,1,0,0,,,,0,,,0,37,9.25,0,0,0,0,1,,0,0,0,0,,,,,,,,
364,Tom Huddlestone,2007,Midfielder,28,8,11,England,3,0,1,2,0,0.11,0,0,54,14,26,0,80,15,39,107,20,63,192,122,109,9,16,20,,,,0,,,7,1165,41.61,0,103,17,4,160,,5,0,38,1,,,,,,,,
365,Afonso Alves,2007,Forward,11,4,5,Brazil,6,0,4,2,2,0.55,0,0,27,12,44,0,6,4,1,0,0,,,,,,,,,,,,,,1,123,11.18,0,1,,,,,0,0,11,14,,,,,,,,
366,Luke Ashworth,2007,Defender,0,0,0,England,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,,0,0,0,0,,,,,,,,
