,Name,Year,Position,Appearances,Wins,Losses,Nationality,Goals,Headed Goals,Right Footed Goals,Left Footed Goals,Hit Woodwork,Goals per Match,Penalties Scored,Freekicks Scored,Shots,Shots on Target,Shooting Accuracy,Big Chances Missed,Tackles,Blocked Shots,Interceptions,Clearances,Headed Clearances,Tackle Success,Recoveries,Duels Won,Duels Lost,Successful 50/50s,Aerials Battles Won,Aerial Battles Lost,Clean Sheets,Goals Conceded,Own Goals,Errors Lead to a Goal,Last Man Tackles,Clearances Off the Line,Assists,Passes,Passes per Game,Big Chances,Crosses,Cross Accuracy,Through Balls,Accurate Long Balls,Goalie Goals,Yellows,Reds,Fouls,Offsides,Saves,Penalties Saved,Punches,High claims,Catches,Sweeper Clearances,Throw Outs,Goal Kicks
27,Son Heung-Min,2018,Forward,31,19,11,South Korea,12,0,7,5,1,0.39,0,0,74,29,39,5,23,23,8,4,0,,,,,,,,,,,,,,6,752,24.26,5,25,,,,,2,1,12,22,,,,,,,,
28,Ki Sung-Yueng,2018,Midfielder,18,7,7,South Korea,0,0,0,0,1,0.0,0,0,9,2,22,0,14,2,19,19,9,71,94,47,47,5,14,14,,,,0,,,1,597,33.17,2,54,26,2,52,,2,0,11,0,,,,,,,,
29,Bernard,2018,Forward,34,14,13,Brazil,1,0,1,0,1,0.03,0,0,23,5,22,4,49,9,27,12,2,,,,,,,,,,,,,,3,806,23.71,4,51,,,,,5,0,17,2,,,,,,,,
30,Yoshinori Muto,2018,Forward,17,2,10,Japan,1,0,0,1,0,0.06,0,0,6,3,50,2,8,1,5,3,2,,,,,,,,,,,,,,0,113,6.65,0,4,,,,,1,0,13,2,,,,,,,,
31,George Johnston,2018,Defender,0,0,0,Scotland,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,,0,0,0,0,,,,,,,,
32,Sam Gallagher,2018,Forward,4,2,2,England,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,,0,6,1.5,0,0,,,,,0,0,4,0,,,,,,,,
33,Shkodran Mustafi,2018,Defender,31,17,8,Germany,2,2,0,0,0,,,,,,,,62,1,58,161,106,73,116,200,119,8,123,62,5,40,0,1,0,1,0,1765,56.94,0,11,9,4,98,,9,0,42,4,,,,,,,,
34,David Silva,2018,Midfielder,33,28,3,Spain,6,0,3,3,1,0.18,0,1,51,20,39,6,30,21,22,13,1,60,134,105,113,31,20,23,,,,0,,,8,2015,61.06,16,75,25,18,39,,3,0,26,5,,,,,,,,
35,Adam Federici,2018,Goalkeeper,0,0,0,Australia,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,0,0,0.0,,,,,0,0,0,0,0,,0,0,0,0,0,0,0,0
36,Robert Sanchez,2018,Goalkeeper,0,0,0,Spain,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,0,0,0.0,,,,,0,0,0,0,0,,0,0,0,0,0,0,0,0
37,Dwight Gayle,2018,Forward,0,0,0,England,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,0.0,0,0,,,,,0,0,0,0,,,,,,,,
38,Steven Defour,2018,Midfielder,6,0,5,Belgium,0,0,0,0,0,0.0,0,0,0,0,0,0,8,0,8,6,1,50,31,11,20,1,0,5,,,,0,,,0,249,41.5,0,4,0,1,25,,0,0,1,0,,,,,,,,
39,Jordan Hugill,2018,Forward,0,0,0,England,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,0.0,0,0,,,,,0,0,0,0,,,,,,,,
40,Will Hughes,2018,Midfielder,32,12,14,England,2,0,0,2,0,0.06,0,0,31,7,23,3,73,14,25,22,5,59,160,193,192,27,23,39,,,,0,,,4,960,30.0,5,21,14,2,17,,5,0,54,0,,,,,,,,
41,Romelu Lukaku,2018,Forward,32,15,9,Belgium,12,2,5,4,2,0.38,0,0,55,32,58,15,8,9,2,19,13,,,,,,,,,,,,,,0,534,16.69,3,46,,,,,4,0,18,23,,,,,,,,
42,Adrian Bernabe,2018,Midfielder,0,0,0,Spain,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,0,0,0.0,0,0,0,0,0,,0,0,0,0,,,,,,,,
43,Harry Maguire,2018,Defender,31,12,15,England,3,1,2,0,1,,,,,,,,31,5,37,152,77,55,195,181,68,16,118,33,6,40,0,1,2,0,0,1747,56.35,1,1,0,2,191,,6,1,20,4,,,,,,,,
44,Tom Anderson,2018,Defender,0,0,0,England,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,,0,0,0,0,,,,,,,,
45,Fernandinho,2018,Midfielder,29,25,2,Brazil,1,0,1,0,0,0.03,0,0,30,7,23,2,57,6,41,69,47,75,163,177,145,19,77,66,,,,0,,,3,2050,70.69,4,4,0,13,79,,5,0,40,2,,,,,,,,
46,Will Collar,2018,Midfielder,0,0,0,England,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,0,0,0.0,0,0,0,0,0,,0,0,0,0,,,,,,,,
47,Tom Cleverley,2018,Midfielder,13,6,4,England,1,0,1,0,1,0.08,0,0,4,2,50,0,17,0,5,11,6,53,37,26,39,1,4,10,,,,0,,,0,221,17.0,0,4,25,0,12,,2,0,8,1,,,,,,,,
48,Jeffrey Schlupp,2018,Midfielder,30,10,17,Ghana,4,1,1,2,0,0.13,0,0,28,8,29,3,41,10,19,21,13,49,90,131,140,23,54,61,,,,0,,,1,630,21.0,1,17,24,3,15,,1,0,25,1,,,,,,,,
49,Matt Butcher,2018,Midfielder,0,0,0,England,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,,0,0,0,0,,,,,,,,
50,Jeff Hendrick,2018,Midfielder,32,8,17,Ireland,3,0,2,1,0,0.09,0,0,19,6,32,2,24,8,12,25,13,50,121,66,112,12,17,28,,,,0,,,0,659,20.59,1,24,17,4,21,,4,0,17,9,,,,,,,,
51,Jaroslaw Jach,2018,Defender,0,0,0,Poland,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,,0,0,0,0,,,,,,,,
52,Matteo Guendouzi,2018,Midfielder,33,17,10,France,0,0,0,0,0,0.0,0,0,16,4,25,0,44,6,30,24,13,59,167,147,115,23,18,24,,,,1,,,0,1598,48.42,3,15,7,9,78,,9,0,24,0,,,,,,,,
53,Beni Baningime,2018,Midfielder,0,0,0,The Democratic Republic Of Congo,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,0,0,0.0,0,0,0,0,0,,0,0,0,0,,,,,,,,
54,Adam Legzdins,2018,Goalkeeper,0,0,0,England,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,0,0,0.0,,,,,0,0,0,0,0,,0,0,0,0,0,0,0,0
55,Jermain Defoe,2018,Forward,4,2,2,England,0,0,0,0,0,0.0,0,0,1,1,100,0,0,0,0,0,0,,,,,,,,,,,,,,0,3,0.75,0,0,,,,,0,0,0,0,,,,,,,,
56,Adama Traore,2018,Forward,29,9,12,Spain,1,0,1,0,0,0.03,0,0,19,7,37,1,16,5,6,6,4,,,,,,,,,,,,,,1,270,9.31,2,35,,,,,1,0,15,6,,,,,,,,
57,Kyle Taylor,2018,Midfielder,0,0,0,England,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,0,0,0.0,0,0,0,0,0,,0,0,0,0,,,,,,,,
58,Diogo Dalot,2018,Defender,16,8,5,Portugal,0,0,0,0,0,,,,,,,,24,5,10,30,12,50,53,59,30,11,22,5,1,18,0,0,0,0,2,423,26.44,5,50,28,0,9,,3,0,12,2,,,,,,,,
59,Axel Tuanzebe,2018,Defender,0,0,0,England,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,,0,0,0,0,,,,,,,,
60,Lewis Cook,2018,Midfielder,13,6,5,England,0,0,0,0,0,0.0,0,0,4,0,0,0,13,3,8,7,1,46,60,33,48,10,5,10,,,,0,,,0,391,30.08,0,10,0,1,22,,2,0,12,0,,,,,,,,
61,Oliver Skipp,2018,Midfielder,8,7,0,England,0,0,0,0,0,0.0,0,0,2,0,0,0,7,1,1,6,5,43,13,22,12,2,10,4,,,,0,,,0,143,17.88,0,0,0,0,4,,0,0,4,0,,,,,,,,
62,Paul Dummett,2018,Defender,26,8,11,Wales,0,0,0,0,0,,,,,,,,34,2,37,123,73,65,80,104,53,2,61,27,6,27,0,0,0,1,0,758,29.15,1,32,22,0,51,,1,0,11,1,,,,,,,,
63,Callum Hudson-Odoi,2018,Forward,10,5,3,England,0,0,0,0,0,0.0,0,0,6,3,50,1,8,2,3,0,0,,,,,,,,,,,,,,1,207,20.7,2,22,,,,,0,0,1,3,,,,,,,,
64,Josh Gordon,2018,Forward,0,0,0,England,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,0.0,0,0,,,,,0,0,0,0,,,,,,,,
65,Bukayo Saka,2018,Forward,1,1,0,England,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,0.0,0,0,,,,,0,0,0,0,,,,,,,,
66,Lys Mousset,2018,Forward,24,7,14,France,1,0,1,0,0,0.04,0,0,12,7,58,3,3,2,1,2,1,,,,,,,,,,,,,,0,121,5.04,0,3,,,,,1,0,7,4,,,,,,,,
67,Juan Mata,2018,Midfielder,22,11,4,Spain,3,0,1,2,0,0.14,0,1,19,6,32,0,9,7,6,5,1,44,71,30,56,10,2,6,,,,0,,,2,700,31.82,5,67,19,6,48,,3,0,10,8,,,,,,,,
68,Thibaut Courtois,2018,Goalkeeper,0,0,0,Belgium,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,0,0,0.0,,,,,0,0,0,0,0,,0,0,0,0,0,0,0,0
69,Jake Hesketh,2018,Midfielder,0,0,0,England,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,0,0,0.0,0,0,0,0,0,,0,0,0,0,,,,,,,,
70,Josh Knight,2018,Defender,0,0,0,England,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,,0,0,0,0,,,,,,,,
71,Jan Mlakar,2018,Forward,0,0,0,Slovenia,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,0.0,0,0,,,,,0,0,0,0,,,,,,,,
72,Joel Ward,2018,Defender,7,4,3,England,1,1,0,0,0,,,,,,,,12,0,10,31,18,58,31,37,34,1,18,14,0,14,0,0,0,0,0,190,27.14,0,7,0,0,9,,1,0,8,1,,,,,,,,
73,Christian Pulisic,2018,Midfielder,0,0,0,United States,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,0,0,0.0,0,0,0,0,0,,0,0,0,0,,,,,,,,
74,Ederson,2018,Goalkeeper,38,32,4,Brazil,,,,,,,,,,,,,,,,,,,,,,,,,20,23,0,0,,,1,920,24.21,,,,,125,0,2,0,2,,58,0,6,17,5,17,188,189
75,Richarlison,2018,"Name
Richarlison    Forward
Richarlison    Forward
Name: Position, dtype: object",35,15,13,"Name
Richarlison    Brazil
Richarlison    Brazil
Name: Nationality, dtype: object",13,2,7,4,2,0.37,0,0,83,29,35,8,49,26,16,39,29,,,,,,,,,,,,,,1,793,22.66,2,47,,,,,5,1,32,17,,,,,,,,
76,Richard Towell,2018,Forward,0,0,0,Ireland,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,0.0,0,0,,,,,0,0,0,0,,,,,,,,
77,Ademola Lookman,2018,Forward,21,7,8,England,0,0,0,0,1,0.0,0,0,12,3,25,2,15,5,7,2,1,,,,,,,,,,,,,,2,253,12.05,3,15,,,,,0,0,8,2,,,,,,,,
78,Marc Albrighton,2018,Midfielder,27,10,10,England,2,2,0,0,0,0.07,0,0,19,7,37,0,36,8,23,24,12,61,141,91,102,20,15,18,,,,0,,,2,621,23.0,6,125,17,9,46,,3,0,10,2,,,,,,,,
79,Allan,2018,Midfielder,0,0,0,Brazil,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,0,0,0.0,0,0,0,0,0,,0,0,0,0,,,,,,,,
80,Andreas Christensen,2018,Defender,8,4,2,Denmark,0,0,0,0,0,,,,,,,,10,0,4,27,11,40,49,32,26,1,18,17,3,7,0,0,0,0,0,458,57.25,0,0,0,0,9,,1,0,8,0,,,,,,,,
81,Yves Bissouma,2018,Midfielder,28,7,16,Mali,0,0,0,0,0,0.0,0,0,31,3,10,2,62,9,33,25,12,48,116,161,143,47,27,31,,,,1,,,0,715,25.54,1,8,25,3,24,,5,0,40,2,,,,,,,,
82,Ciaran Clark,2018,Defender,11,3,7,Ireland,3,3,0,0,0,,,,,,,,20,2,12,57,33,80,46,68,34,0,43,23,2,15,0,0,0,0,0,304,27.64,0,3,0,0,17,,1,0,6,0,,,,,,,,
83,Kayne Ramsay,2018,Defender,1,0,1,England,0,0,0,0,0,,,,,,,,0,0,0,7,3,0,2,2,0,0,2,0,0,3,0,0,0,0,0,14,14.0,0,0,0,0,0,,0,0,0,0,,,,,,,,
84,Eliaquim Mangala,2018,"Name
Eliaquim Mangala    Defender
Eliaquim Mangala    Defender
Name: Position, dtype: object",0,0,0,"Name
Eliaquim Mangala    France
Eliaquim Mangala    France
Name: Nationality, dtype: object",0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,,0,0,0,0,,,,,,,,
85,Lucas Digne,2018,Defender,35,14,13,France,4,0,0,4,3,,,,,,,,72,13,60,94,51,64,181,205,142,14,90,45,12,38,1,0,1,0,4,1457,41.63,13,280,30,0,58,,5,1,39,2,,,,,,,,
86,Brandon Mason,2018,Defender,0,0,0,England,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,,0,0,0,0,,,,,,,,
87,Luka Milivojevic,2018,Midfielder,38,14,17,Serbia,12,0,12,0,4,0.32,10,1,57,25,44,2,89,16,73,66,35,76,194,193,177,13,54,39,,,,1,,,2,1986,52.26,4,185,28,2,129,,10,0,60,0,,,,,,,,
88,Eric Bailly,2018,Defender,12,8,2,Cote D'Ivoire,0,0,0,0,0,,,,,,,,15,0,13,37,11,60,42,37,13,4,13,4,1,13,0,0,0,0,0,302,25.17,0,0,0,0,19,,0,1,5,0,,,,,,,,
89,Manolo Gabbiadini,2018,Forward,12,0,6,Italy,1,0,0,1,0,0.08,0,0,20,8,40,2,6,3,3,5,3,,,,,,,,,,,,,,0,121,10.08,0,4,,,,,0,0,9,1,,,,,,,,
90,Tosin Adarabioyo,2018,Defender,0,0,0,England,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,,0,0,0,0,,,,,,,,
91,Yohan Cabaye,2018,Midfielder,0,0,0,France,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,0,0,0.0,0,0,0,0,0,,0,0,0,0,,,,,,,,
92,Emile Smith Rowe,2018,Midfielder,0,0,0,England,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,0,0,0.0,0,0,0,0,0,,0,0,0,0,,,,,,,,
93,Toby Alderweireld,2018,Defender,34,21,11,Belgium,0,0,0,0,1,,,,,,,,37,4,24,167,79,65,193,93,68,1,54,47,12,31,1,0,1,1,0,2358,69.35,1,6,33,6,240,,3,0,10,1,,,,,,,,
94,Daryl Janmaat,2018,Defender,18,8,6,Netherlands,0,0,0,0,0,,,,,,,,36,5,32,61,27,67,103,71,56,14,20,13,3,22,0,0,0,0,2,599,33.28,1,61,23,1,46,,3,0,16,1,,,,,,,,
95,Giovanni McGregor,2018,Midfielder,0,0,0,England,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,0,0,0.0,0,0,0,0,0,,0,0,0,0,,,,,,,,
96,Cameron Carter-Vickers,2018,Defender,0,0,0,United States,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,,0,0,0,0,,,,,,,,
97,Mark Noble,2018,Midfielder,31,14,11,England,5,0,4,1,0,0.16,4,0,17,8,47,0,47,5,21,12,2,55,189,107,111,14,8,8,,,,0,,,5,1507,48.61,2,23,22,10,136,,6,1,23,1,,,,,,,,
98,Erik Palmer-Brown,2018,Defender,0,0,0,United States,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,,0,0,0,0,,,,,,,,
99,Bernardo,2018,Defender,22,6,10,Brazil,0,0,0,0,0,,,,,,,,62,2,34,66,37,69,120,143,79,14,44,30,2,29,0,0,0,1,1,785,35.68,0,31,19,0,23,,4,0,17,2,,,,,,,,
100,Jonathan Dinzeyi,2018,Defender,0,0,0,England,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,,0,0,0,0,,,,,,,,
101,Andre Gomes,2018,Midfielder,27,10,12,Portugal,1,0,1,0,0,0.04,0,0,21,5,24,1,39,5,20,18,11,59,178,140,192,40,38,32,,,,0,,,1,1200,44.44,1,16,19,1,95,,7,0,49,0,,,,,,,,
102,Alex Denny,2018,Midfielder,0,0,0,England,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,0,0,0.0,0,0,0,0,0,,0,0,0,0,,,,,,,,
103,Olivier Giroud,2018,Forward,27,16,6,France,2,1,0,1,1,0.07,0,0,32,10,31,5,3,7,3,6,6,,,,,,,,,,,,,,4,261,9.67,3,1,,,,,1,0,12,6,,,,,,,,
104,Konstantinos Mavropanos,2018,Defender,4,2,2,Greece,0,0,0,0,0,,,,,,,,1,0,7,5,1,0,5,5,5,2,2,3,0,1,0,0,0,0,0,137,34.25,1,0,0,0,13,,1,0,2,0,,,,,,,,
105,Troy Deeney,2018,Forward,32,11,14,England,9,3,6,0,1,0.28,1,0,64,30,47,8,24,14,7,28,23,,,,,,,,,,,,,,5,827,25.84,8,16,,,,,4,1,42,13,,,,,,,,
106,Alexandre Lacazette,2018,Forward,35,18,10,France,13,0,12,1,1,0.37,0,1,81,30,37,13,35,19,15,29,22,,,,,,,,,,,,,,8,771,22.03,6,29,,,,,2,0,51,24,,,,,,,,
107,Callum Elder,2018,Defender,0,0,0,Australia,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,,0,0,0,0,,,,,,,,
108,Ruben Vinagre,2018,Defender,17,8,5,Portugal,0,0,0,0,0,,,,,,,,14,1,14,13,7,64,54,44,51,13,9,17,1,9,0,0,0,0,0,286,16.82,1,52,13,1,8,,1,0,12,1,,,,,,,,
109,Darnell Johnson,2018,Defender,0,0,0,England,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,,0,0,0,0,,,,,,,,
110,Ian Carlo Poveda-Ocampo,2018,Forward,0,0,0,England,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,0.0,0,0,,,,,0,0,0,0,,,,,,,,
111,Jeff Reine-Adelaide,2018,Midfielder,0,0,0,France,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,0,0,0.0,0,0,0,0,0,,0,0,0,0,,,,,,,,
112,Ben Stevenson,2018,Midfielder,0,0,0,England,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,0,0,0.0,0,0,0,0,0,,0,0,0,0,,,,,,,,
