,Name,Year,Position,Appearances,Wins,Losses,Nationality,Goals,Headed Goals,Right Footed Goals,Left Footed Goals,Hit Woodwork,Goals per Match,Penalties Scored,Freekicks Scored,Shots,Shots on Target,Shooting Accuracy,Big Chances Missed,Tackles,Blocked Shots,Interceptions,Clearances,Headed Clearances,Tackle Success,Recoveries,Duels Won,Duels Lost,Successful 50/50s,Aerials Battles Won,Aerial Battles Lost,Clean Sheets,Goals Conceded,Own Goals,Errors Lead to a Goal,Last Man Tackles,Clearances Off the Line,Assists,Passes,Passes per Game,Big Chances,Crosses,Cross Accuracy,Through Balls,Accurate Long Balls,Goalie Goals,Yellows,Reds,Fouls,Offsides,Saves,Penalties Saved,Punches,High claims,Catches,Sweeper Clearances,Throw Outs,Goal Kicks
0,Daniel Sturridge,2018,Forward,18,13,1,England,2,0,0,2,0,0.11,0,0,18,6,33,0,3,5,1,0,0,,,,,,,,,,,,,,1,190,10.56,1,3,,,,,1,0,5,4,,,,,,,,
1,Ki-Jana Hoever,2018,Defender,0,0,0,Netherlands,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,,0,0,0,0,,,,,,,,
2,Idrissa Gueye,2018,Midfielder,33,14,11,Senegal,0,0,0,0,1,0.0,0,0,19,4,21,0,142,8,75,44,11,63,254,235,161,23,32,35,,,,0,,,2,1739,52.7,0,13,23,4,104,,6,0,54,0,,,,,,,,
3,David de Gea,2018,Goalkeeper,38,19,10,Spain,,,,,,,,,,,,,,,,,,,,,,,,,7,54,0,4,,,0,948,24.95,,,,,299,0,1,0,1,,122,0,12,8,12,5,153,332
4,Achraf Lazaar,2018,Defender,0,0,0,Morocco,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,0.0,0,0,,,,,0,0,0,0,,,,,,,,
5,George Marsh,2018,Midfielder,0,0,0,England,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,0,0,0.0,0,0,0,0,0,,0,0,0,0,,,,,,,,
6,Dodi Lukebakio,2018,Midfielder,0,0,0,Belgium,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,0.0,0,0,,,,,0,0,0,0,,,,,,,,
7,Brice Dja Djedje,2018,Defender,0,0,0,Cote D'Ivoire,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,,0,0,0,0,,,,,,,,
8,Michael Keane,2018,Defender,33,14,12,England,1,1,0,0,1,,,,,,,,41,4,43,183,115,61,161,245,159,6,192,125,13,39,0,1,1,1,2,1592,48.24,3,4,25,0,102,,2,0,22,0,,,,,,,,
9,Joel Matip,2018,Defender,22,17,0,Cameroon,1,1,0,0,0,,,,,,,,39,0,31,76,44,67,95,127,54,6,66,28,9,12,0,0,0,0,0,1341,60.95,1,0,0,4,47,,3,0,11,0,,,,,,,,
10,Daniel Arzani,2018,Midfielder,0,0,0,Australia,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,0,0,0.0,0,0,0,0,0,,0,0,0,0,,,,,,,,
11,Pedro Pereira,2018,Midfielder,0,0,0,Portugal,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,0,0,0.0,0,0,0,0,0,,0,0,0,0,,,,,,,,
12,Rafael Camacho,2018,Midfielder,1,1,0,Portugal,0,0,0,0,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,,,,0,,,0,0,0.0,0,0,0,0,0,,0,0,0,0,,,,,,,,
13,Michael Collins,2018,Defender,0,0,0,England,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,,0,0,0,0,,,,,,,,
14,Andreas Pereira,2018,Midfielder,15,6,5,Brazil,1,0,1,0,0,0.07,0,0,8,2,25,0,8,5,11,7,3,75,46,23,55,7,3,13,,,,1,,,1,353,23.53,2,12,25,1,12,,5,0,12,1,,,,,,,,
15,Angel Gomes,2018,Midfielder,2,1,1,England,0,0,0,0,0,0.0,0,0,2,1,50,0,1,0,0,0,0,0,2,1,1,0,0,0,,,,0,,,0,21,10.5,0,1,0,0,1,,0,0,0,0,,,,,,,,
16,Luke Garbutt,2018,Defender,0,0,0,England,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,,0,0,0,0,,,,,,,,
17,Eric Dier,2018,Midfielder,20,12,7,England,3,1,2,0,0,0.15,0,0,9,3,33,0,27,2,22,43,23,59,79,73,97,2,36,31,,,,0,,,0,1082,54.1,2,6,17,5,45,,4,0,24,0,,,,,,,,
18,Jordy Clasie,2018,Midfielder,0,0,0,Netherlands,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,0,0,0.0,0,0,0,0,0,,0,0,0,0,,,,,,,,
19,Nick Pope,2018,Goalkeeper,0,0,0,England,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,0,0,0.0,,,,,0,0,0,0,0,,0,0,0,0,0,0,0,0
20,Ayoze Perez,2018,Forward,37,12,16,Spain,12,4,6,2,1,0.32,0,0,55,28,51,7,60,10,42,28,14,,,,,,,,,,,,,,2,779,21.05,5,22,,,,,2,0,46,9,,,,,,,,
21,Kyle Walker,2018,Defender,33,28,3,England,1,0,1,0,1,,,,,,,,40,9,36,50,25,65,170,117,82,18,45,25,17,17,0,0,0,1,1,2389,72.39,1,59,7,4,117,,3,0,15,4,,,,,,,,
22,David Ospina,2018,Goalkeeper,0,0,0,Colombia,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,0,0,0.0,,,,,0,0,0,0,0,,0,0,0,0,0,0,0,0
23,Caoimhin Kelleher,2018,Goalkeeper,0,0,0,Ireland,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,0,0,0.0,,,,,0,0,0,0,0,,0,0,0,0,0,0,0,0
24,Andros Townsend,2018,Midfielder,38,14,17,England,6,0,1,5,3,0.16,0,0,63,19,30,6,62,18,38,16,5,56,193,180,193,58,4,13,,,,0,,,4,1027,27.03,3,161,24,1,29,,1,0,10,9,,,,,,,,
25,Mikel Merino,2018,Midfielder,0,0,0,Spain,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,0,0,0.0,0,0,0,0,0,,0,0,0,0,,,,,,,,
26,Danny Rose,2018,Defender,26,15,10,England,0,0,0,0,1,,,,,,,,49,6,24,20,12,63,105,157,106,35,27,17,5,16,0,1,1,0,3,929,35.73,4,89,22,2,25,,5,0,26,1,,,,,,,,
