Name,Year,Position,Appearances,Wins,Losses,Nationality,Goals,Headed Goals,Right Footed Goals,Left Footed Goals,Hit Woodwork,Goals per Match,Penalties Scored,Freekicks Scored,Shots,Shots on Target,Shooting Accuracy,Big Chances Missed,Tackles,Blocked Shots,Interceptions,Clearances,Headed Clearances,Tackle Success,Recoveries,Duels Won,Duels Lost,Successful 50/50s,Aerials Battles Won,Aerial Battles Lost,Clean Sheets,Goals Conceded,Own Goals,Errors Lead to a Goal,Last Man Tackles,Clearances Off the Line,Assists,Passes,Passes per Game,Big Chances,Crosses,Cross Accuracy,Through Balls,Accurate Long Balls,Goalie Goals,Yellows,Reds,Fouls,Offsides,Saves,Penalties Saved,Punches,High claims,Catches,Sweeper Clearances,Throw Outs,Goal Kicks
Didier Drogba,2011,Forward,24,12,6,Cote D'Ivoire,5,2,3,0,2,0.21,1,0,65,21,32,1,15,14,9,27,6,,,,,,,,,,,,,,1,388,16.17,5,39,,,,,1,1,29,10,,,,,,,,
Daniel Redmond,2011,Midfielder,0,0,0,England,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,0,0,0.0,0,0,0,0,0,,0,0,0,0,,,,,,,,
Jack Barthram,2011,Defender,0,0,0,England,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,,0,0,0,0,,,,,,,,
Abdisalam Ibrahim,2011,Midfielder,0,0,0,Norway,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,0,0,0.0,0,0,0,0,0,,0,0,0,0,,,,,,,,
Shkodran Mustafi,2011,Defender,0,0,0,Germany,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,,0,0,0,0,,,,,,,,
David Silva,2011,Midfielder,36,27,4,Spain,6,0,1,5,2,0.17,0,0,87,30,34,6,47,32,37,11,1,70,148,125,148,38,4,10,,,,0,,,15,2020,56.11,14,131,27,77,56,,0,0,25,7,,,,,,,,
Henri Lansbury,2011,Midfielder,2,0,2,England,0,0,0,0,0,0.0,0,0,0,0,0,0,1,0,1,0,0,100,3,1,1,0,0,0,,,,0,,,0,17,8.5,0,0,0,0,2,,1,0,1,0,,,,,,,,
Billy Clifford,2011,Midfielder,0,0,0,England,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,0,0,0.0,0,0,0,0,0,,0,0,0,0,,,,,,,,
Bradden Inman,2011,Forward,0,0,0,Australia,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,0.0,0,0,,,,,0,0,0,0,,,,,,,,
Herold Goulon,2011,Midfielder,0,0,0,France,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,0,0,0.0,0,0,0,0,0,,0,0,0,0,,,,,,,,
Martin Olsson,2011,Defender,27,6,16,Sweden,0,0,0,0,1,,,,,,,,39,6,46,99,23,74,89,113,76,12,30,20,2,47,1,0,1,0,2,719,26.63,1,66,20,0,20,,2,1,9,4,,,,,,,,
Andrew Crofts,2011,Midfielder,24,7,8,Wales,0,0,0,0,0,0.0,0,0,16,1,6,0,32,6,19,16,3,78,60,62,76,5,11,12,,,,0,,,1,468,19.5,0,16,50,1,32,,3,0,17,1,,,,,,,,
Romelu Lukaku,2011,Forward,8,2,4,Belgium,0,0,0,0,0,0.0,0,0,9,4,44,1,2,2,0,2,1,,,,,,,,,,,,,,1,53,6.63,1,5,,,,,0,0,3,2,,,,,,,,
Aristote Nsiala,2011,Defender,0,0,0,The Democratic Republic Of Congo,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,,0,0,0,0,,,,,,,,
Mahamadou Diarra,2011,Midfielder,11,5,5,Mali,1,0,1,0,0,0.09,0,0,6,2,33,0,16,1,40,19,5,81,49,46,29,6,7,4,,,,0,,,1,618,56.18,0,0,0,2,44,,1,0,12,0,,,,,,,,
Titus Bramble,2011,Defender,8,3,4,England,1,0,1,0,0,,,,,,,,12,2,14,57,15,92,33,36,22,1,19,10,1,9,0,0,2,1,0,231,28.88,0,1,0,0,19,,0,0,4,0,,,,,,,,
Angel Rangel,2011,Defender,34,11,14,Spain,0,0,0,0,0,,,,,,,,85,10,95,111,31,74,170,130,106,11,13,21,10,41,0,1,2,0,2,2273,66.85,3,78,17,10,125,,3,0,26,1,,,,,,,,
Tom Cleverley,2011,Midfielder,10,9,1,England,0,0,0,0,0,0.0,0,0,9,3,33,1,11,2,5,3,2,82,33,21,20,4,0,4,,,,0,,,1,305,30.5,1,8,25,3,13,,0,0,7,0,,,,,,,,
