x
Nigeria
Ethiopia
Egypt
The Democratic Republic Of Congo
South Africa
Tanzania
Kenya
Algeria
Uganda
Sudan
Morocco
Ghana
Mozambique
Ivory Coast
Madagascar
Angola
Cameroon
Niger
Burkina Faso
Mali
Malawi
Zambia
Senegal
Zimbabwe
Chad
Guinea
Tunisia
Rwanda
South Sudan
Benin
Somalia
Burundi
Togo
Libya
Sierra Leone
Central African Republic
Eritrea
Congo
Liberia
Mauritania
Gabon
Namibia
Botswana
Lesotho
Equatorial Guinea
Gambia
Guinea-Bissau
Mauritius
Swaziland
Djibouti
Reunion (France)
Comoros
Western Sahara
Cape Verde
Mayotte (France)
Sao Tome and Principe
Seychelles
"Saint Helena, Ascension and Tristan da Cunha (UK)"
Cote D’Ivoire
