Name,Year,Position,Appearances,Wins,Losses,Nationality,Goals,Headed Goals,Right Footed Goals,Left Footed Goals,Hit Woodwork,Goals per Match,Penalties Scored,Freekicks Scored,Shots,Shots on Target,Shooting Accuracy,Big Chances Missed,Tackles,Blocked Shots,Interceptions,Clearances,Headed Clearances,Tackle Success,Recoveries,Duels Won,Duels Lost,Successful 50/50s,Aerials Battles Won,Aerial Battles Lost,Clean Sheets,Goals Conceded,Own Goals,Errors Lead to a Goal,Last Man Tackles,Clearances Off the Line,Assists,Passes,Passes per Game,Big Chances,Crosses,Cross Accuracy,Through Balls,Accurate Long Balls,Goalie Goals,Yellows,Reds,Fouls,Offsides,Saves,Penalties Saved,Punches,High claims,Catches,Sweeper Clearances,Throw Outs,Goal Kicks
Daniel Sturridge,2017,Forward,15,6,5,England,2,1,0,1,0,0.13,0,0,24,8,33,1,0,7,0,1,1,,,,,,,,,,,,,,1,158,10.53,1,4,,,,,0,0,1,3,,,,,,,,
Idrissa Gueye,2017,Midfielder,33,12,13,Senegal,2,0,2,0,0,0.06,0,0,23,7,30,1,117,6,62,42,13,79,287,220,172,18,33,33,,,,0,,,1,1566,47.45,1,11,27,1,71,,6,1,50,1,,,,,,,,
David de Gea,2017,Goalkeeper,37,24,7,Spain,,,,,,,,,,,,,,,,,,,,,,,,,18,28,0,0,,,0,942,25.46,,,,,260,0,0,0,0,,115,0,6,12,10,6,147,290
Stephen Ireland,2017,Midfielder,4,1,1,Ireland,0,0,0,0,1,0.0,0,0,3,0,0,1,3,0,1,1,0,33,2,5,8,1,0,2,,,,0,,,0,66,16.5,0,0,0,1,2,,1,0,1,0,,,,,,,,
Achraf Lazaar,2017,Midfielder,0,0,0,Morocco,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,0,0,0.0,0,0,0,0,0,,0,0,0,0,,,,,,,,
Dodi Lukébakio,2017,Forward,1,0,1,Belgium,0,0,0,0,0,0.0,0,0,1,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,0,6,6.0,0,2,,,,,0,0,0,0,,,,,,,,
Brice Dja Djédjé,2017,Defender,0,0,0,Cote D'Ivoire,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,,0,0,0,0,,,,,,,,
Michael Keane,2017,Defender,30,9,13,England,0,0,0,0,0,,,,,,,,33,2,53,206,146,76,138,178,133,7,129,87,7,46,0,0,0,0,1,1157,38.57,2,4,25,0,96,,3,0,21,4,,,,,,,,
Joel Matip,2017,Defender,25,16,3,Cameroon,1,0,1,0,1,,,,,,,,35,2,35,96,58,69,123,104,58,3,57,21,9,27,0,1,0,1,0,1655,66.2,1,0,0,1,91,,3,0,19,1,,,,,,,,
Aaron Mooy,2017,Midfielder,36,8,18,Australia,4,0,2,2,1,0.11,1,0,29,7,24,0,102,15,38,48,9,59,266,166,160,16,33,39,,,,0,,,3,1902,52.83,5,185,20,4,102,,5,0,26,2,,,,,,,,
