Name,Year,Position,Appearances,Wins,Losses,Nationality,Goals,Headed Goals,Right Footed Goals,Left Footed Goals,Hit Woodwork,Goals per Match,Penalties Scored,Freekicks Scored,Shots,Shots on Target,Shooting Accuracy,Big Chances Missed,Tackles,Blocked Shots,Interceptions,Clearances,Headed Clearances,Tackle Success,Recoveries,Duels Won,Duels Lost,Successful 50/50s,Aerials Battles Won,Aerial Battles Lost,Clean Sheets,Goals Conceded,Own Goals,Errors Lead to a Goal,Last Man Tackles,Clearances Off the Line,Assists,Passes,Passes per Game,Big Chances,Crosses,Cross Accuracy,Through Balls,Accurate Long Balls,Goalie Goals,Yellows,Reds,Fouls,Offsides,Saves,Penalties Saved,Punches,High claims,Catches,Sweeper Clearances,Throw Outs,Goal Kicks
Marlon Harewood,2010,Forward,16,3,10,England,5,1,4,0,0,0.31,0,0,22,8,36,5,8,2,3,5,1,,,,,,,,,,,,,,1,183,11.44,2,12,,,,,1,0,16,9,,,,,,,,
Ritchie de Laet,2010,Defender,0,0,0,Belgium,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,
Carlos Vela,2010,Forward,12,3,5,Mexico,3,0,2,1,0,0.25,0,0,14,8,57,3,2,2,1,1,0,,,,,,,,,,,,,,1,165,13.75,1,14,,,,,0,0,3,2,,,,,,,,
Haris Vuckic,2010,Forward,0,0,0,Slovenia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,0,0,0,,,,,0,0,0,0,,,,,,,,
Daniel Sturridge,2010,Forward,25,10,10,England,8,2,1,5,1,0.32,0,0,70,21,30,11,1,18,3,1,0,,,,,,,,,,,,,,0,276,11.04,0,18,,,,,0,1,8,8,,,,,,,,
Kevin Davies,2010,Forward,38,12,16,England,8,1,5,2,1,0.21,4,0,60,17,28,8,62,14,32,58,19,,,,,,,,,,,,,,5,1661,43.71,8,66,,,,,10,0,123,11,,,,,,,,
Marouane Chamakh,2010,Forward,29,14,8,Morocco,7,3,3,1,2,0.24,0,0,52,21,40,13,28,10,21,20,6,,,,,,,,,,,,,,4,723,24.93,4,4,,,,,5,0,33,15,,,,,,,,
Nikki Ahamed,2010,Midfielder,0,0,0,Sri Lanka,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,
Stephen Ireland,2010,Midfielder,12,1,6,Ireland,0,0,0,0,0,0,0,0,10,0,0,1,14,2,14,7,1,79,33,28,27,3,1,4,,,,0,,,0,241,20.08,0,4,0,5,17,,1,0,5,1,,,,,,,,
Alberto Aquilani,2010,Midfielder,0,0,0,Italy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,
