Name,Year,Position,Appearances,Wins,Losses,Nationality,Goals,Headed Goals,Right Footed Goals,Left Footed Goals,Hit Woodwork,Goals per Match,Penalties Scored,Freekicks Scored,Shots,Shots on Target,Shooting Accuracy,Big Chances Missed,Tackles,Blocked Shots,Interceptions,Clearances,Headed Clearances,Tackle Success,Recoveries,Duels Won,Duels Lost,Successful 50/50s,Aerials Battles Won,Aerial Battles Lost,Clean Sheets,Goals Conceded,Own Goals,Errors Lead to a Goal,Last Man Tackles,Clearances Off the Line,Assists,Passes,Passes per Game,Big Chances,Crosses,Cross Accuracy,Through Balls,Accurate Long Balls,Goalie Goals,Yellows,Reds,Fouls,Offsides,Saves,Penalties Saved,Punches,High claims,Catches,Sweeper Clearances,Throw Outs,Goal Kicks
Haris Vuckic,2013,Forward,0,0,0,Slovenia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,0,0,0,,,,,0,0,0,0,,,,,,,,
Daniel Sturridge,2013,Forward,29,20,3,England,21,4,2,14,5,0.72,0,0,99,42,42,11,10,14,4,2,2,,,,,,,,,,,,,,7,740,25.52,8,21,,,,,2,0,8,19,,,,,,,,
Aleksandar Tonev,2013,Midfielder,17,2,11,Bulgaria,0,0,0,0,0,0,0,0,24,9,38,0,8,4,3,3,0,88,29,22,42,8,2,8,,,,0,,,0,145,8.53,1,31,6,1,2,,0,0,11,1,,,,,,,,
Marouane Chamakh,2013,Forward,32,10,17,Morocco,5,1,3,1,0,0.16,1,0,17,10,59,3,53,0,22,46,43,,,,,,,,,,,,,,2,939,29.34,0,8,,,,,9,0,51,12,,,,,,,,
Ignacio Scocco,2013,Forward,6,0,4,Argentina,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,,,,,,,,,,,,,,0,14,2.33,0,0,,,,,0,0,4,0,,,,,,,,
Danny Whitehead,2013,Midfielder,0,0,0,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,
David de Gea,2013,Goalkeeper,37,18,12,Spain,,,,,,,,,,,,,,,,,,,,,,,,,12,43,0,0,,,0,604,16.32,,,,,152,0,1,0,0,,99,0,14,31,13,7,142,288
Stephen Ireland,2013,Midfielder,25,8,9,Ireland,2,0,0,2,1,0.08,0,0,21,7,33,4,43,4,23,13,3,81,70,56,96,6,4,16,,,,0,,,2,666,26.64,0,52,37,7,25,,3,0,26,5,,,,,,,,
Michael Keane,2013,Defender,0,0,0,England,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,
Kerim Frei,2013,Midfielder,0,0,0,Turkey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,
Billy Knott,2013,Midfielder,0,0,0,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,
Sylvain Distin,2013,Defender,33,20,5,France,0,0,0,0,0,,,,,,,,53,1,56,274,185,81,139,165,87,16,85,53,13,29,0,0,3,0,0,1571,47.61,0,5,20,0,153,,3,0,10,4,,,,,,,,
Andre Wisdom,2013,Defender,2,1,0,England,0,0,0,0,0,,,,,,,,3,0,0,5,1,100,6,5,8,1,1,3,0,2,0,0,0,0,0,32,16,0,0,0,0,0,,1,0,2,0,,,,,,,,
Aiden McGeady,2013,Midfielder,16,9,6,Ireland,0,0,0,0,1,0,0,0,10,2,20,0,9,2,5,2,0,78,23,35,39,23,0,3,,,,0,,,1,179,11.19,0,43,23,2,14,,0,0,2,1,,,,,,,,
Luke Garbutt,2013,Defender,1,0,1,England,0,0,0,0,0,,,,,,,,1,0,0,0,0,100,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,,0,0,0,0,,,,,,,,
