Name,Year,Position,Appearances,Wins,Losses,Nationality,Goals,Headed Goals,Right Footed Goals,Left Footed Goals,Hit Woodwork,Goals per Match,Penalties Scored,Freekicks Scored,Shots,Shots on Target,Shooting Accuracy,Big Chances Missed,Tackles,Blocked Shots,Interceptions,Clearances,Headed Clearances,Tackle Success,Recoveries,Duels Won,Duels Lost,Successful 50/50s,Aerials Battles Won,Aerial Battles Lost,Clean Sheets,Goals Conceded,Own Goals,Errors Lead to a Goal,Last Man Tackles,Clearances Off the Line,Assists,Passes,Passes per Game,Big Chances,Crosses,Cross Accuracy,Through Balls,Accurate Long Balls,Goalie Goals,Yellows,Reds,Fouls,Offsides,Saves,Penalties Saved,Punches,High claims,Catches,Sweeper Clearances,Throw Outs,Goal Kicks
Haris Vuckic,2012,Forward,0,0,0,Slovenia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,0,0,0,,,,,0,0,0,0,,,,,,,,
Daniel Sturridge,2012,Forward,21,8,4,England,11,0,3,8,2,0.52,1,0,70,33,47,13,5,8,11,0,0,,,,,,,,,,,,,,3,437,20.81,5,18,,,,,2,0,6,15,,,,,,,,
Marouane Chamakh,2012,Forward,3,0,2,Morocco,0,0,0,0,0,0,0,0,5,2,40,2,3,0,0,0,0,,,,,,,,,,,,,,0,67,22.33,0,0,,,,,0,0,0,0,,,,,,,,
David de Gea,2012,Goalkeeper,28,22,2,Spain,,,,,,,,,,,,,,,,,,,,,,,,,11,26,0,1,,,0,426,15.21,,,,,105,0,0,0,0,,84,0,23,22,8,8,123,231
Stephen Ireland,2012,Midfielder,13,3,8,Ireland,0,0,0,0,0,0,0,0,11,3,27,1,30,2,12,8,1,77,42,44,53,2,2,6,,,,0,,,1,360,27.69,2,16,25,5,20,,1,0,20,2,,,,,,,,
Sanchez Watt,2012,Midfielder,0,0,0,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,
Michael Keane,2012,Defender,0,0,0,England,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,
Kerim Frei,2012,Midfielder,7,0,5,Turkey,0,0,0,0,0,0,0,0,3,1,33,0,8,0,6,0,0,63,15,23,27,6,1,2,,,,0,,,0,78,11.14,0,5,20,0,1,,0,0,1,0,,,,,,,,
Sébastien Squillaci,2012,Defender,0,0,0,France,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,
Billy Knott,2012,Midfielder,1,0,1,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,,,,0,,,0,4,4,0,0,0,0,0,,0,0,0,0,,,,,,,,
Sylvain Distin,2012,Defender,34,14,5,France,0,0,0,0,2,,,,,,,,51,0,55,313,114,80,111,204,79,3,126,52,10,31,0,0,1,2,1,1114,32.76,4,1,0,0,94,,2,0,13,3,,,,,,,,
Vladimir Weiss,2012,Forward,0,0,0,Slovakia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,0,0,0,,,,,0,0,0,0,,,,,,,,
Courtney Meppen-Walter,2012,Defender,0,0,0,England,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,
Andre Wisdom,2012,Defender,12,6,1,England,0,0,0,0,0,,,,,,,,29,1,13,44,12,90,55,58,35,6,19,13,5,11,0,0,0,0,1,488,40.67,0,9,0,0,13,,0,0,6,0,,,,,,,,
Luke Garbutt,2012,Defender,0,0,0,England,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,
William Gallas,2012,Defender,19,11,6,France,1,1,0,0,0,,,,,,,,17,2,32,173,66,82,55,48,34,1,28,22,3,24,0,2,2,2,0,608,32,0,4,0,0,69,,2,0,5,4,,,,,,,,
Wayne Bridge,2012,Defender,0,0,0,England,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,
Roger Espinoza,2012,Midfielder,12,1,6,Honduras,1,0,0,1,0,0.08,0,0,2,1,50,0,18,0,25,8,5,78,39,47,39,4,18,8,,,,0,,,2,358,29.83,0,26,27,4,18,,1,0,10,0,,,,,,,,
Shinji Kagawa,2012,Midfielder,20,14,3,Japan,6,1,4,1,3,0.3,0,0,21,10,48,2,17,5,11,3,0,88,66,49,73,8,4,9,,,,0,,,3,834,41.7,4,22,23,13,29,,1,0,9,2,,,,,,,,
Pavel Pogrebnyak,2012,Forward,29,5,15,Russia,5,2,0,3,0,0.17,0,0,33,15,45,8,19,4,6,27,8,,,,,,,,,,,,,,0,549,18.93,1,7,,,,,4,1,46,24,,,,,,,,
Ross Turnbull,2012,Goalkeeper,3,1,1,England,,,,,,,,,,,,,,,,,,,,,,,,,0,3,0,0,,,0,43,14.33,,,,,7,0,0,0,0,,5,0,1,3,3,0,15,15
Roland Lamah,2012,Midfielder,5,1,2,Belgium,0,0,0,0,0,0,0,0,2,0,0,0,3,2,1,0,0,100,8,10,13,2,3,1,,,,0,,,0,78,15.6,1,2,0,0,1,,0,0,3,1,,,,,,,,
Henrique Hilário,2012,Goalkeeper,0,0,0,Portugal,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,0,0,0,,,,,0,0,0,0,0,,0,0,0,0,0,0,0,0
Ali Al Habsi,2012,Goalkeeper,29,6,16,Oman,,,,,,,,,,,,,,,,,,,,,,,,,4,57,1,7,,,0,380,13.1,,,,,117,0,0,0,1,,85,1,21,29,18,19,118,285
Neil Etheridge,2012,Goalkeeper,0,0,0,Philippines,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,0,0,0,,,,,0,0,0,0,0,,0,0,0,0,0,0,0,0
Curtis Obeng,2012,Defender,0,0,0,England,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,
Andros Townsend,2012,Midfielder,17,6,9,England,2,0,0,2,0,0.12,0,0,37,7,19,1,37,14,16,7,1,89,75,111,85,51,0,5,,,,0,,,1,338,19.88,1,53,17,2,5,,2,0,7,0,,,,,,,,
Emmanuel Adebayor,2012,Forward,25,13,6,Togo,5,1,3,1,2,0.2,0,0,42,19,45,10,18,12,3,15,6,,,,,,,,,,,,,,1,615,24.6,2,13,,,,,3,1,31,21,,,,,,,,
Stéphane Sessegnon,2012,Midfielder,35,9,16,Benin,7,0,6,1,0,0.2,0,0,59,22,37,3,20,14,11,6,0,85,97,185,263,59,17,63,,,,0,,,3,918,26.23,4,55,18,8,69,,1,1,41,12,,,,,,,,
Danny Rose,2012,Defender,27,7,12,England,1,0,0,1,2,,,,,,,,63,5,73,64,20,87,150,180,122,28,28,21,5,36,0,0,1,1,1,971,35.96,0,54,11,2,51,,6,0,30,0,,,,,,,,
Kieran Richardson,2012,Defender,15,1,8,England,1,0,0,1,0,,,,,,,,21,2,21,29,7,71,59,39,41,3,6,6,1,21,0,0,2,0,0,380,25.33,2,24,17,2,16,,2,0,16,0,,,,,,,,
Daniel Redmond,2012,Midfielder,0,0,0,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,
Ki Sung-Yueng,2012,Midfielder,29,7,10,South Korea,0,0,0,0,1,0,0,0,38,13,34,0,33,11,35,37,7,73,136,84,96,12,15,27,,,,0,,,2,1618,55.79,4,42,40,7,172,,3,0,26,1,,,,,,,,
Jack Barthram,2012,Defender,0,0,0,England,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,
Abdisalam Ibrahim,2012,Midfielder,0,0,0,Norway,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,
David Silva,2012,Midfielder,32,19,5,Spain,4,0,1,3,3,0.13,0,0,53,20,38,12,33,17,27,17,2,91,149,103,130,31,11,11,,,,0,,,8,1824,57,13,160,28,46,40,,2,0,27,4,,,,,,,,
Adam Federici,2012,Goalkeeper,21,5,12,Australia,,,,,,,,,,,,,,,,,,,,,,,,,3,40,0,5,,,0,403,19.19,,,,,148,0,0,0,0,,74,0,20,23,10,10,31,209
Henri Lansbury,2012,Midfielder,0,0,0,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,
Bryan Oviedo,2012,Defender,15,6,3,Costa Rica,0,0,0,0,0,,,,,,,,6,2,2,2,1,67,19,15,17,3,1,2,0,3,0,0,0,0,1,95,6.33,1,16,13,0,1,,1,0,2,0,,,,,,,,
Billy Clifford,2012,Midfielder,0,0,0,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,
Bradden Inman,2012,Forward,0,0,0,Australia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,0,0,0,,,,,0,0,0,0,,,,,,,,
Romelu Lukaku,2012,Forward,35,12,16,Belgium,17,4,5,7,6,0.49,2,0,97,47,48,15,7,18,3,9,5,,,,,,,,,,,,,,4,570,16.29,4,59,,,,,3,0,22,42,,,,,,,,
Jak Alnwick,2012,Goalkeeper,0,0,0,England,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,0,0,0,,,,,0,0,0,0,0,,0,0,0,0,0,0,0,0
Mahamadou Diarra,2012,Midfielder,8,2,3,Mali,0,0,0,0,0,0,0,0,5,0,0,0,19,2,22,10,2,79,48,47,40,4,13,13,,,,0,,,0,512,64,0,0,0,0,51,,1,0,12,0,,,,,,,,
Titus Bramble,2012,Defender,16,4,7,England,0,0,0,0,0,,,,,,,,28,1,25,114,34,71,56,72,53,0,38,29,3,18,1,2,2,0,0,354,22.13,2,2,50,0,36,,3,0,16,2,,,,,,,,
Guy Demel,2012,Defender,31,10,12,Cote D'Ivoire,0,0,0,0,0,,,,,,,,44,2,38,104,36,77,108,110,106,25,24,20,5,35,0,0,0,0,2,831,26.81,3,83,36,0,23,,2,0,20,4,,,,,,,,
Angel Rangel,2012,Defender,33,11,12,Spain,3,0,2,1,0,,,,,,,,85,6,87,144,45,75,160,151,135,13,39,47,8,39,0,0,0,1,1,1842,55.82,4,92,21,5,95,,7,0,33,3,,,,,,,,
Tom Cleverley,2012,Midfielder,22,17,2,England,2,0,2,0,0,0.09,0,0,19,5,26,1,37,5,16,21,3,78,84,68,58,4,4,8,,,,0,,,2,1077,48.95,3,26,15,3,65,,1,0,8,0,,,,,,,,
Jean Beausejour,2012,Midfielder,34,9,17,Chile,1,0,1,0,0,0.03,0,0,12,4,33,0,43,3,35,61,16,74,146,127,132,18,22,31,,,,2,,,7,1336,39.29,9,254,27,3,26,,4,0,28,15,,,,,,,,
George Moncur,2012,Midfielder,0,0,0,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,
Yassine El Ghanassy,2012,Midfielder,0,0,0,Belgium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,
Jermain Defoe,2012,Forward,34,19,8,England,11,0,8,3,3,0.32,0,0,108,41,38,10,16,29,10,3,0,,,,,,,,,,,,,,3,437,12.85,2,23,,,,,4,0,24,17,,,,,,,,
Paul Dummett,2012,Defender,0,0,0,Wales,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,
Michu,2012,Forward,35,9,13,Spain,18,6,3,9,5,0.51,0,0,110,34,31,14,45,22,30,38,6,,,,,,,,,,,,,,2,1120,32,8,10,,,,,6,0,48,21,,,,,,,,
Julio César,2012,Goalkeeper,24,2,13,Brazil,,,,,,,,,,,,,,,,,,,,,,,,,5,37,1,3,,,0,364,15.17,,,,,79,0,0,0,0,,97,0,23,23,13,5,83,237
Thorgan Hazard,2012,Midfielder,0,0,0,Belgium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,
Juan Mata,2012,Midfielder,35,22,6,Spain,12,0,1,11,1,0.34,0,2,70,24,34,8,25,24,21,2,0,56,180,83,147,21,2,3,,,,0,,,12,1838,52.51,14,222,21,16,98,,3,0,15,19,,,,,,,,
Thibaut Courtois,2012,Goalkeeper,0,0,0,Belgium,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,0,0,0,,,,,0,0,0,0,0,,0,0,0,0,0,0,0,0
Pierce Sweeney,2012,Defender,0,0,0,Ireland,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,
Jamie Ness,2012,Midfielder,0,0,0,Scotland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,
Hal Robson-Kanu,2012,Forward,25,3,16,Wales,7,2,0,5,1,0.28,1,0,37,14,38,2,11,8,21,15,6,,,,,,,,,,,,,,1,329,13.16,1,70,,,,,0,0,28,2,,,,,,,,
Eirik Holmen Johansen,2012,Goalkeeper,0,0,0,Norway,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,0,0,0,,,,,0,0,0,0,0,,0,0,0,0,0,0,0,0
