Name,Year,Position,Appearances,Wins,Losses,Nationality,Goals,Headed Goals,Right Footed Goals,Left Footed Goals,Hit Woodwork,Goals per Match,Penalties Scored,Freekicks Scored,Shots,Shots on Target,Shooting Accuracy,Big Chances Missed,Tackles,Blocked Shots,Interceptions,Clearances,Headed Clearances,Tackle Success,Recoveries,Duels Won,Duels Lost,Successful 50/50s,Aerials Battles Won,Aerial Battles Lost,Clean Sheets,Goals Conceded,Own Goals,Errors Lead to a Goal,Last Man Tackles,Clearances Off the Line,Assists,Passes,Passes per Game,Big Chances,Crosses,Cross Accuracy,Through Balls,Accurate Long Balls,Goalie Goals,Yellows,Reds,Fouls,Offsides,Saves,Penalties Saved,Punches,High claims,Catches,Sweeper Clearances,Throw Outs,Goal Kicks
Ritchie de Laet,2016,Defender,0,0,0,Belgium,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,,0,0,0,0,,,,,,,,
Daniel Sturridge,2016,Forward,20,12,3,England,3,1,1,1,4,0.15,0,0,40,21,53,3,1,4,2,0,0,,,,,,,,,,,,,,1,278,13.9,2,7,,,,,1,0,5,7,,,,,,,,
Marouane Chamakh,2016,Forward,0,0,0,Morocco,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,0.0,0,0,,,,,0,0,0,0,,,,,,,,
Idrissa Gueye,2016,Midfielder,33,14,10,Senegal,1,0,1,0,1,0.03,0,0,25,6,24,2,135,10,81,39,15,73,245,246,166,27,32,19,,,,0,,,1,1885,57.12,2,12,33,1,97,,11,0,51,0,,,,,,,,
David de Gea,2016,Goalkeeper,35,16,5,Spain,,,,,,,,,,,,,,,,,,,,,,,,,14,29,0,1,,,0,849,24.26,,,,,320,0,2,0,0,,74,0,3,26,14,10,107,235
Stephen Ireland,2016,Midfielder,0,0,0,Ireland,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,0,0,0.0,0,0,0,0,0,,0,0,0,0,,,,,,,,
Julien de Sart,2016,Midfielder,0,0,0,Belgium,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,0,0,0.0,0,0,0,0,0,,0,0,0,0,,,,,,,,
Brice Dja Djédjé,2016,Defender,0,0,0,Cote D'Ivoire,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,,0,0,0,0,,,,,,,,
Michael Keane,2016,Defender,35,11,18,England,2,1,1,0,1,,,,,,,,28,8,63,260,170,86,151,193,110,5,152,80,10,49,0,0,0,0,1,1127,32.2,1,3,33,0,127,,4,0,14,1,,,,,,,,
Joel Matip,2016,Defender,29,17,4,Cameroon,1,1,0,0,3,,,,,,,,47,8,47,153,79,74,150,131,67,10,63,40,9,25,0,1,0,0,0,1699,58.59,0,5,0,1,94,,3,0,14,0,,,,,,,,
