Name,Year,Position,Appearances,Wins,Losses,Nationality,Goals,Headed Goals,Right Footed Goals,Left Footed Goals,Hit Woodwork,Goals per Match,Penalties Scored,Freekicks Scored,Shots,Shots on Target,Shooting Accuracy,Big Chances Missed,Tackles,Blocked Shots,Interceptions,Clearances,Headed Clearances,Tackle Success,Recoveries,Duels Won,Duels Lost,Successful 50/50s,Aerials Battles Won,Aerial Battles Lost,Clean Sheets,Goals Conceded,Own Goals,Errors Lead to a Goal,Last Man Tackles,Clearances Off the Line,Assists,Passes,Passes per Game,Big Chances,Crosses,Cross Accuracy,Through Balls,Accurate Long Balls,Goalie Goals,Yellows,Reds,Fouls,Offsides,Saves,Penalties Saved,Punches,High claims,Catches,Sweeper Clearances,Throw Outs,Goal Kicks
Aaron Mooy,2016,Midfielder,0,0,0,Australia,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,0,0,0.0,0,0,0,0,0,,0,0,0,0,,,,,,,,
Sylvain Distin,2016,Defender,0,0,0,France,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,,0,0,0,0,,,,,,,,
George Friend,2016,Defender,24,4,13,England,0,0,0,0,0,,,,,,,,62,7,56,80,47,76,116,165,129,36,47,38,4,35,0,1,0,0,2,780,32.5,1,37,14,0,45,,4,0,28,0,,,,,,,,
Andre Wisdom,2016,Defender,0,0,0,England,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,,0,0,0,0,,,,,,,,
Aiden McGeady,2016,Midfielder,0,0,0,Ireland,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,0,0,0.0,0,0,0,0,0,,0,0,0,0,,,,,,,,
Andreas Pereira,2016,Midfielder,0,0,0,Brazil,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,0,0,0.0,0,0,0,0,0,,0,0,0,0,,,,,,,,
Angel Gomes,2016,Midfielder,1,1,0,England,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,0,,,0,13,13.0,0,0,0,0,0,,0,0,0,0,,,,,,,,
Paul Robinson,2016,Goalkeeper,3,0,3,England,,,,,,,,,,,,,,,,,,,,,,,,,0,7,0,0,,,0,102,34.0,,,,,40,0,0,0,0,,10,0,2,2,1,1,1,26
Luke Garbutt,2016,Defender,0,0,0,England,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,,0,0,0,0,,,,,,,,
Eric Dier,2016,Midfielder,36,25,3,England,2,0,2,0,0,0.06,0,0,23,7,30,1,48,6,35,149,82,73,162,140,115,4,73,55,,,,1,,,0,1981,55.03,0,20,20,0,187,,6,0,24,3,,,,,,,,
Jordy Clasie,2016,Midfielder,16,9,6,Netherlands,1,0,1,0,0,0.06,0,0,12,4,33,0,18,3,14,9,2,56,66,31,55,1,6,16,,,,0,,,1,623,38.94,0,9,22,0,34,,3,0,14,0,,,,,,,,
Ryan Allsop,2016,Goalkeeper,1,0,0,England,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,,,0,26,26.0,,,,,4,0,0,0,0,,4,0,0,0,0,0,7,11
Joseph Dodoo,2016,Forward,0,0,0,England,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,0.0,0,0,,,,,0,0,0,0,,,,,,,,
Jesús Navas,2016,Defender,24,13,5,Spain,0,0,0,0,1,,,,,,,,19,2,22,13,1,95,60,54,44,15,9,16,1,17,0,0,0,0,0,582,24.25,3,92,17,2,27,,2,0,6,3,,,,,,,,
Noor Husin,2016,Midfielder,0,0,0,Afghanistan,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,0,0,0.0,0,0,0,0,0,,0,0,0,0,,,,,,,,
Nick Pope,2016,Goalkeeper,0,0,0,England,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,0,0,0.0,,,,,0,0,0,0,0,,0,0,0,0,0,0,0,0
Essaïd Belkalem,2016,Defender,0,0,0,Algeria,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,,0,0,0,0,,,,,,,,
David Henen,2016,Forward,0,0,0,Togo,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,0.0,0,0,,,,,0,0,0,0,,,,,,,,
Courtney Duffus,2016,Forward,0,0,0,Ireland,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,0.0,0,0,,,,,0,0,0,0,,,,,,,,
Kyle Walker,2016,Defender,33,21,4,England,0,0,0,0,0,,,,,,,,72,5,38,94,45,71,159,197,138,35,60,28,14,21,0,0,0,1,5,1464,44.36,4,96,14,1,111,,8,0,36,3,,,,,,,,
David Ospina,2016,Goalkeeper,2,0,1,Colombia,,,,,,,,,,,,,,,,,,,,,,,,,0,4,0,1,,,0,44,22.0,,,,,14,0,0,0,0,,4,0,0,1,1,2,6,11
Caoimhin Kelleher,2016,Goalkeeper,0,0,0,Ireland,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,0,0,0.0,,,,,0,0,0,0,0,,0,0,0,0,0,0,0,0
David Jones,2016,Midfielder,1,0,1,England,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,5,2,2,0,2,1,,,,0,,,0,37,37.0,0,11,9,0,0,,1,0,1,0,,,,,,,,
Graziano Pellè,2016,Forward,0,0,0,Italy,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,0.0,0,0,,,,,0,0,0,0,,,,,,,,
Andros Townsend,2016,Midfielder,36,12,19,England,3,0,2,1,1,0.08,0,0,56,13,23,2,77,22,43,19,6,81,160,182,199,67,3,13,,,,0,,,4,685,19.03,8,236,25,1,15,,4,0,18,3,,,,,,,,
Sven Kums,2016,Midfielder,0,0,0,Belgium,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,0,0,0.0,0,0,0,0,0,,0,0,0,0,,,,,,,,
Emmanuel Adebayor,2016,Forward,0,0,0,Togo,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,0.0,0,0,,,,,0,0,0,0,,,,,,,,
Stéphane Sessegnon,2016,Midfielder,0,0,0,Benin,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,0,0,0.0,0,0,0,0,0,,0,0,0,0,,,,,,,,
Danny Rose,2016,Defender,18,10,1,England,2,0,0,2,0,,,,,,,,50,8,22,52,24,68,81,148,97,25,27,16,7,11,0,0,1,0,2,783,43.5,1,65,22,0,57,,8,0,26,1,,,,,,,,
Son Heung-Min,2016,Forward,34,24,4,South Korea,14,0,9,5,4,0.41,0,0,80,33,41,5,19,21,7,6,3,,,,,,,,,,,,,,6,775,22.79,5,62,,,,,2,0,9,22,,,,,,,,
Ki Sung-Yueng,2016,Midfielder,23,6,13,South Korea,0,0,0,0,0,0.0,0,0,9,1,11,0,25,2,21,19,6,72,91,59,51,7,7,6,,,,0,,,1,687,29.87,0,9,33,0,51,,3,0,18,1,,,,,,,,
Alexander Manninger,2016,Goalkeeper,0,0,0,Austria,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,0,0,0.0,,,,,0,0,0,0,0,,0,0,0,0,0,0,0,0
Sam Gallagher,2016,Forward,0,0,0,England,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,0.0,0,0,,,,,0,0,0,0,,,,,,,,
Shkodran Mustafi,2016,Defender,26,16,5,Germany,2,2,0,0,2,,,,,,,,54,8,62,129,83,78,139,184,126,14,103,61,8,30,0,0,1,1,2,1564,60.15,1,20,20,4,54,,11,0,35,1,,,,,,,,
David Silva,2016,Midfielder,34,21,6,Spain,4,0,0,4,1,0.12,0,0,48,17,35,4,43,12,17,21,8,74,184,157,175,46,16,32,,,,0,,,7,2075,61.03,12,125,30,26,50,,6,0,29,5,,,,,,,,
Adam Federici,2016,Goalkeeper,2,1,1,Australia,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,0,,,0,54,27.0,,,,,16,0,1,0,0,,5,0,1,1,0,1,11,26
Bryan Oviedo,2016,Defender,16,1,9,Costa Rica,0,0,0,0,0,,,,,,,,31,1,19,28,8,84,61,60,34,14,8,3,2,20,0,0,0,0,0,398,24.88,1,21,19,1,17,,3,0,14,1,,,,,,,,
Michael Phillips,2016,Midfielder,0,0,0,England,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,0,0,0.0,0,0,0,0,0,,0,0,0,0,,,,,,,,
Martin Olsson,2016,Defender,15,7,6,Sweden,2,0,0,2,0,,,,,,,,10,2,10,49,30,70,79,62,57,9,21,21,4,18,0,0,0,0,0,496,33.07,0,59,20,0,34,,2,0,12,0,,,,,,,,
Dwight Gayle,2016,Forward,0,0,0,England,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,0.0,0,0,,,,,0,0,0,0,,,,,,,,
Steven Defour,2016,Midfielder,21,9,11,Belgium,1,0,1,0,0,0.05,0,0,8,6,75,1,19,2,32,11,1,79,93,41,57,13,1,10,,,,0,,,3,521,24.81,0,68,34,1,45,,1,0,14,2,,,,,,,,
Martín Demichelis,2016,Defender,0,0,0,Argentina,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,,0,0,0,0,,,,,,,,
Romelu Lukaku,2016,Forward,37,17,11,Belgium,25,6,7,12,3,0.68,1,1,110,55,50,8,9,24,0,27,15,,,,,,,,,,,,,,6,965,26.08,8,45,,,,,3,0,33,36,,,,,,,,
Alex Bruce,2016,Defender,0,0,0,Northern Ireland,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,,0,0,0,0,,,,,,,,
Harry Maguire,2016,Defender,29,7,17,England,2,1,1,0,1,,,,,,,,54,5,63,141,101,72,148,188,87,29,69,29,4,53,0,0,0,0,2,1182,40.76,1,15,20,1,102,,5,0,24,3,,,,,,,,
Tom Anderson,2016,Defender,0,0,0,England,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,,0,0,0,0,,,,,,,,
Angel Rangel,2016,Defender,18,7,10,Spain,1,0,0,1,0,,,,,,,,32,0,26,31,17,72,51,57,38,5,13,13,1,24,0,0,0,0,0,545,30.28,1,11,36,1,37,,1,0,10,1,,,,,,,,
Fernandinho,2016,Midfielder,32,20,4,Brazil,2,1,1,0,0,0.06,0,0,36,11,31,4,82,9,65,60,37,67,200,198,198,30,52,52,,,,0,,,1,2180,68.13,2,23,30,14,108,,4,2,48,1,,,,,,,,
Tom Cleverley,2016,Midfielder,27,8,12,England,0,0,0,0,1,0.0,0,0,10,4,40,1,42,1,31,21,6,74,107,65,104,8,4,21,,,,0,,,2,857,31.74,2,60,27,2,41,,4,0,23,0,,,,,,,,
Jeffrey Schlupp,2016,Midfielder,19,7,10,Ghana,0,0,0,0,0,,,,,,,,35,2,26,49,26,80,72,83,62,15,23,18,3,17,0,0,0,0,0,349,18.37,0,15,13,0,27,,0,0,4,0,,,,,,,,
Stephen Kingsley,2016,Defender,13,3,7,Scotland,0,0,0,0,0,,,,,,,,12,0,8,24,6,83,67,32,26,6,7,12,3,20,0,0,0,0,0,434,33.38,0,47,21,0,19,,0,0,3,0,,,,,,,,
Matt Butcher,2016,Defender,0,0,0,England,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,,0,0,0,0,,,,,,,,
Jeff Hendrick,2016,Midfielder,32,9,18,Ireland,2,1,1,0,0,0.06,0,0,31,6,19,1,33,12,39,33,17,55,159,124,160,23,35,41,,,,0,,,1,1004,31.38,0,17,24,0,67,,6,1,43,4,,,,,,,,
Daniel Cleary,2016,Defender,0,0,0,Ireland,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,,0,0,0,0,,,,,,,,
Sam Howes,2016,Goalkeeper,0,0,0,England,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,0,0,0.0,,,,,0,0,0,0,0,,0,0,0,0,0,0,0,0
Jermain Defoe,2016,Forward,37,6,25,England,15,0,10,5,2,0.41,5,0,99,31,31,7,20,38,3,2,0,,,,,,,,,,,,,,2,456,12.32,0,19,,,,,1,0,24,36,,,,,,,,
Adama Traoré,2016,Forward,27,2,16,Spain,0,0,0,0,0,0.0,0,0,11,2,18,1,30,3,6,5,1,,,,,,,,,,,,,,1,369,13.67,1,79,,,,,1,0,20,1,,,,,,,,
Axel Tuanzebe,2016,Defender,4,1,2,England,0,0,0,0,0,,,,,,,,9,1,7,8,6,56,13,16,17,1,2,5,1,4,0,0,0,0,0,143,35.75,0,0,0,0,2,,0,0,6,0,,,,,,,,
Lewis Cook,2016,Midfielder,6,3,2,England,0,0,0,0,0,0.0,0,0,5,2,40,0,10,1,7,2,0,80,32,16,31,2,1,11,,,,0,,,2,279,46.5,1,2,0,1,28,,1,0,2,0,,,,,,,,
Ollie Harfield,2016,Defender,0,0,0,England,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,,0,0,0,0,,,,,,,,
Lys Mousset,2016,Forward,11,4,5,France,0,0,0,0,0,0.0,0,0,10,3,30,2,4,3,0,5,4,,,,,,,,,,,,,,0,63,5.73,0,3,,,,,0,0,6,1,,,,,,,,
Juan Mata,2016,Midfielder,25,12,4,Spain,6,0,1,5,1,0.24,0,0,40,21,53,5,22,8,12,8,0,77,94,57,58,15,4,6,,,,0,,,3,990,39.6,4,93,28,6,44,,3,0,10,9,,,,,,,,
Thibaut Courtois,2016,Goalkeeper,36,29,4,Belgium,,,,,,,,,,,,,,,,,,,,,,,,,16,28,0,0,,,0,792,22.0,,,,,172,0,1,0,1,,68,0,18,37,10,16,165,224
Jake Hesketh,2016,Midfielder,0,0,0,England,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,0,0,0.0,0,0,0,0,0,,0,0,0,0,,,,,,,,
James Morrison,2016,Midfielder,31,11,13,Scotland,5,1,2,2,0,0.16,0,0,23,8,35,2,26,5,23,11,3,65,112,66,110,15,9,25,,,,0,,,2,764,24.65,1,22,5,4,41,,3,0,19,2,,,,,,,,
Hal Robson-Kanu,2016,Forward,29,10,13,Wales,3,0,1,2,0,0.1,0,0,16,6,38,2,5,5,4,8,8,,,,,,,,,,,,,,2,166,5.72,1,12,,,,,3,0,28,5,,,,,,,,
Toni Correia Gomes,2016,Forward,0,0,0,Portugal,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,0.0,0,0,,,,,0,0,0,0,,,,,,,,
Ademola Lookman,2016,Forward,8,5,0,England,1,0,1,0,0,0.13,0,0,16,6,38,1,5,3,2,3,1,,,,,,,,,,,,,,0,94,11.75,0,1,,,,,0,0,4,2,,,,,,,,
Marc Albrighton,2016,Midfielder,33,10,15,England,2,0,2,0,0,0.06,0,1,21,7,33,1,50,5,35,30,6,80,225,125,168,48,7,30,,,,0,,,6,874,26.48,8,212,20,3,56,,5,0,21,2,,,,,,,,
Allan,2016,Midfielder,0,0,0,Brazil,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,0,0,0.0,0,0,0,0,0,,0,0,0,0,,,,,,,,
Juan Iturbe,2016,Forward,0,0,0,Paraguay,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,0.0,0,0,,,,,0,0,0,0,,,,,,,,
Andreas Christensen,2016,Defender,0,0,0,Denmark,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,,0,0,0,0,,,,,,,,
Kevin Wimmer,2016,Defender,5,2,1,Austria,0,0,0,0,0,,,,,,,,3,0,4,13,9,67,8,13,8,1,8,3,0,4,1,0,0,0,0,225,45.0,0,1,0,0,13,,3,0,4,0,,,,,,,,
Modou Barrow,2016,Forward,18,3,12,Gambia,0,0,0,0,0,0.0,0,0,15,3,20,1,22,2,6,7,1,,,,,,,,,,,,,,2,299,16.61,3,59,,,,,1,0,15,10,,,,,,,,
José Manuel Jurado,2016,Midfielder,0,0,0,Spain,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,0,0,0.0,0,0,0,0,0,,0,0,0,0,,,,,,,,
Eliaquim Mangala,2016,Defender,0,0,0,France,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,,0,0,0,0,,,,,,,,
Luka Milivojevic,2016,Midfielder,14,7,6,Serbia,2,0,2,0,0,0.14,2,0,14,4,29,0,29,4,39,24,14,59,86,78,77,7,27,24,,,,1,,,0,490,35.0,1,6,33,1,38,,4,0,27,0,,,,,,,,
Álvaro Arbeloa,2016,Defender,3,0,2,Spain,0,0,0,0,0,,,,,,,,5,0,9,7,4,80,17,12,10,0,4,1,0,9,0,0,0,0,0,104,34.67,0,6,17,0,3,,3,0,5,0,,,,,,,,
Sam Field,2016,Midfielder,8,3,3,England,0,0,0,0,0,0.0,0,0,1,0,0,0,5,0,4,1,1,100,25,11,14,1,3,3,,,,0,,,0,105,13.13,0,7,29,0,4,,2,0,5,0,,,,,,,,
Eric Bailly,2016,Defender,25,14,4,Cote D'Ivoire,0,0,0,0,1,,,,,,,,60,2,60,126,60,72,172,136,77,14,37,30,12,15,0,0,1,0,0,876,35.04,0,2,0,0,59,,4,0,28,0,,,,,,,,
Joey Barton,2016,Midfielder,14,3,7,England,1,0,1,0,0,0.07,0,1,12,3,25,0,43,5,20,19,10,72,92,95,83,6,29,21,,,,0,,,0,576,41.14,1,9,33,3,50,,4,0,20,0,,,,,,,,
Manolo Gabbiadini,2016,Forward,11,2,6,Italy,4,0,1,2,0,0.36,0,0,29,11,38,3,2,9,3,10,8,,,,,,,,,,,,,,0,117,10.64,0,3,,,,,1,0,8,10,,,,,,,,
Sean Goss,2016,Midfielder,0,0,0,England,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,0,0,0.0,0,0,0,0,0,,0,0,0,0,,,,,,,,
Tosin Adarabioyo,2016,Defender,0,0,0,England,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,,0,0,0,0,,,,,,,,
Damiá,2016,Defender,0,0,0,Spain,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,,0,0,0,0,,,,,,,,
Yohan Cabaye,2016,Midfielder,32,9,18,France,4,0,3,1,0,0.13,0,0,40,11,28,2,60,13,72,21,5,62,146,102,134,13,8,12,,,,2,,,3,984,30.75,6,109,26,3,56,,7,0,31,2,,,,,,,,
Toby Alderweireld,2016,Defender,30,22,3,Belgium,1,0,1,0,1,,,,,,,,41,5,26,162,84,85,130,92,75,4,42,45,14,17,0,1,0,0,0,1522,50.73,0,6,17,1,212,,1,0,9,0,,,,,,,,
Daryl Janmaat,2016,Defender,27,10,14,Netherlands,2,0,1,1,1,,,,,,,,45,7,20,35,18,69,102,85,89,16,21,21,1,33,0,0,0,0,1,604,22.37,2,52,25,1,43,,2,0,17,5,,,,,,,,
Bastian Schweinsteiger,2016,Midfielder,0,0,0,Germany,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,0,0,0.0,0,0,0,0,0,,0,0,0,0,,,,,,,,
Ikechi Anya,2016,Midfielder,1,0,0,Scotland,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,,0,,,0,3,3.0,0,0,0,0,0,,0,0,0,0,,,,,,,,
Cameron Carter-Vickers,2016,Defender,0,0,0,United States,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,,0,0,0,0,,,,,,,,
Jordan Lee,2016,Defender,0,0,0,England,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,,0,0,0,0,,,,,,,,
Mark Noble,2016,Midfielder,30,11,12,England,3,0,3,0,3,0.1,1,1,25,7,28,1,49,5,37,11,7,61,182,109,107,15,3,8,,,,0,,,0,1435,47.83,1,20,15,3,126,,10,0,27,0,,,,,,,,
Mike van der Hoorn,2016,Defender,8,1,6,Netherlands,1,1,0,0,0,,,,,,,,9,0,18,56,33,89,54,42,34,0,24,14,1,20,0,0,0,0,0,324,40.5,0,0,0,0,39,,1,0,12,0,,,,,,,,
Jay Rodriguez,2016,Forward,24,6,12,England,5,0,4,1,0,0.21,0,0,33,15,45,4,6,8,2,15,13,,,,,,,,,,,,,,2,234,9.75,0,8,,,,,0,0,15,9,,,,,,,,
Enner Valencia,2016,Forward,24,8,12,Ecuador,3,0,2,1,0,0.13,0,0,31,12,39,3,16,11,11,12,6,,,,,,,,,,,,,,1,228,9.5,1,23,,,,,1,0,26,6,,,,,,,,
Olivier Giroud,2016,Forward,29,16,8,France,12,6,1,5,1,0.41,0,0,39,20,51,3,14,5,8,17,12,,,,,,,,,,,,,,3,369,12.72,2,3,,,,,2,0,21,12,,,,,,,,
Konstantinos Mavropanos,2016,Defender,0,0,0,Greece,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,,0,0,0,0,,,,,,,,
Troy Deeney,2016,Forward,37,10,20,England,10,2,7,1,0,0.27,3,0,42,18,43,7,20,8,14,50,36,,,,,,,,,,,,,,4,841,22.73,2,16,,,,,7,0,43,19,,,,,,,,
Callum Elder,2016,Defender,0,0,0,Australia,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,,0,0,0,0,,,,,,,,
Lloyd Dyer,2016,Midfielder,0,0,0,England,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,0,0,0.0,0,0,0,0,0,,0,0,0,0,,,,,,,,
Jeff Reine-Adélaïde,2016,Midfielder,0,0,0,France,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,0,0,0.0,0,0,0,0,0,,0,0,0,0,,,,,,,,
Shay Given,2016,Goalkeeper,5,0,4,Ireland,,,,,,,,,,,,,,,,,,,,,,,,,0,14,1,0,,,0,132,26.4,,,,,54,0,1,0,0,,19,1,1,6,5,8,17,31
Tom Lawrence,2016,Forward,0,0,0,Wales,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,0.0,0,0,,,,,0,0,0,0,,,,,,,,
Andrew Surman,2016,Midfielder,22,5,10,England,0,0,0,0,0,0.0,0,0,8,2,25,0,15,2,43,38,22,53,128,58,75,12,17,29,,,,0,,,1,1318,59.91,0,6,33,5,105,,1,1,17,0,,,,,,,,
Jay Fulton,2016,Midfielder,11,4,6,Scotland,0,0,0,0,0,0.0,0,0,3,0,0,0,31,2,7,15,6,61,46,57,53,1,16,22,,,,0,,,0,323,29.36,0,5,0,1,14,,2,0,11,0,,,,,,,,
