Name,Year,Position,Appearances,Wins,Losses,Nationality,Goals,Headed Goals,Right Footed Goals,Left Footed Goals,Hit Woodwork,Goals per Match,Penalties Scored,Freekicks Scored,Shots,Shots on Target,Shooting Accuracy,Big Chances Missed,Tackles,Blocked Shots,Interceptions,Clearances,Headed Clearances,Tackle Success,Recoveries,Duels Won,Duels Lost,Successful 50/50s,Aerials Battles Won,Aerial Battles Lost,Clean Sheets,Goals Conceded,Own Goals,Errors Lead to a Goal,Last Man Tackles,Clearances Off the Line,Assists,Passes,Passes per Game,Big Chances,Crosses,Cross Accuracy,Through Balls,Accurate Long Balls,Goalie Goals,Yellows,Reds,Fouls,Offsides,Saves,Penalties Saved,Punches,High claims,Catches,Sweeper Clearances,Throw Outs,Goal Kicks
Ritchie de Laet,2015,Defender,12,4,1,Belgium,1,0,1,0,0,,,,,,,,25,0,21,25,7,92,40,44,39,3,13,16,0,16,0,0,0,1,0,218,18.17,0,15,27,0,15,,1,0,6,0,,,,,,,,
Daniel Sturridge,2015,Forward,14,6,3,England,8,3,1,4,2,0.57,0,0,48,23,48,5,3,6,3,4,3,,,,,,,,,,,,,,1,317,22.64,0,11,,,,,0,0,2,7,,,,,,,,
Aleksandar Tonev,2015,Midfielder,0,0,0,Bulgaria,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,0,0,0.0,0,0,0,0,0,,0,0,0,0,,,,,,,,
Marouane Chamakh,2015,Forward,10,2,5,Morocco,0,0,0,0,0,0.0,0,0,2,1,50,1,7,0,1,3,3,,,,,,,,,,,,,,0,93,9.3,0,1,,,,,1,0,7,4,,,,,,,,
Idrissa Gueye,2015,Midfielder,35,3,24,Senegal,0,0,0,0,0,0.0,0,0,30,4,13,0,144,10,141,30,11,75,344,295,199,69,31,27,,,,1,,,1,1869,53.4,0,15,20,3,94,,10,0,68,1,,,,,,,,
David de Gea,2015,Goalkeeper,34,17,9,Spain,,,,,,,,,,,,,,,,,,,,,,,,,15,33,1,1,,,0,854,25.12,,,,,260,0,0,0,0,,83,0,13,20,6,18,106,287
Stephen Ireland,2015,Midfielder,13,3,5,Ireland,0,0,0,0,0,0.0,0,0,3,0,0,1,10,0,3,1,1,70,21,14,18,2,2,6,,,,0,,,1,160,12.31,3,9,33,4,9,,2,0,4,0,,,,,,,,
Sylvain Distin,2015,Defender,12,3,5,France,0,0,0,0,0,,,,,,,,19,1,24,47,18,63,40,59,27,6,33,19,1,21,0,0,0,0,0,450,37.5,0,0,0,0,18,,0,0,3,1,,,,,,,,
Andre Wisdom,2015,Defender,10,3,5,England,0,0,0,0,0,,,,,,,,19,1,8,23,12,84,53,40,27,8,10,10,1,15,0,0,0,0,0,307,30.7,1,25,16,0,13,,1,0,3,0,,,,,,,,
Aiden McGeady,2015,Midfielder,0,0,0,Ireland,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,0,0,0.0,0,0,0,0,0,,0,0,0,0,,,,,,,,
Andreas Pereira,2015,Midfielder,4,2,2,Brazil,0,0,0,0,0,0.0,0,0,0,0,0,0,1,0,1,0,0,100,7,6,12,4,0,2,,,,0,,,0,49,12.25,0,11,36,0,0,,2,0,2,0,,,,,,,,
Nathan Mavila,2015,Defender,0,0,0,England,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,,0,0,0,0,,,,,,,,
Luke Garbutt,2015,Defender,0,0,0,England,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,,0,0,0,0,,,,,,,,
Eric Dier,2015,Midfielder,37,19,6,England,3,2,1,0,0,0.08,0,0,30,7,23,1,80,9,80,70,43,80,151,197,185,8,88,68,,,,0,,,2,2084,56.32,3,19,11,5,120,,10,0,52,0,,,,,,,,
Leandro Bacuna,2015,Midfielder,31,3,20,Curacao,1,0,1,0,1,0.03,0,0,32,9,28,1,48,7,56,53,16,90,157,110,124,25,26,24,,,,2,,,0,1133,36.55,2,92,23,2,93,,8,0,36,2,,,,,,,,
Jordy Clasie,2015,Midfielder,22,13,5,Netherlands,0,0,0,0,0,0.0,0,0,14,1,7,0,42,6,55,28,8,88,120,62,90,4,8,24,,,,0,,,0,768,34.91,0,19,32,3,50,,5,0,18,0,,,,,,,,
Ryan Allsop,2015,Goalkeeper,1,0,0,England,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,,,0,8,8.0,,,,,1,0,0,0,0,,0,0,0,1,0,0,2,2
Joseph Dodoo,2015,Forward,1,0,0,England,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,6,6.0,0,0,,,,,0,0,2,0,,,,,,,,
Jesús Navas,2015,Defender,34,17,8,Spain,0,0,0,0,0,,,,,,,,29,11,21,11,3,83,130,110,137,48,9,33,8,22,0,0,0,0,7,1268,37.29,6,176,19,7,40,,1,0,18,4,,,,,,,,
Bradley Johnson,2015,Midfielder,4,1,2,England,0,0,0,0,0,0.0,0,0,10,2,20,1,5,5,0,3,3,80,6,14,15,0,5,2,,,,0,,,0,67,16.75,0,3,67,0,3,,0,0,4,1,,,,,,,,
