Name,Year,Position,Appearances,Wins,Losses,Nationality,Goals,Headed Goals,Right Footed Goals,Left Footed Goals,Hit Woodwork,Goals per Match,Penalties Scored,Freekicks Scored,Shots,Shots on Target,Shooting Accuracy,Big Chances Missed,Tackles,Blocked Shots,Interceptions,Clearances,Headed Clearances,Tackle Success,Recoveries,Duels Won,Duels Lost,Successful 50/50s,Aerials Battles Won,Aerial Battles Lost,Clean Sheets,Goals Conceded,Own Goals,Errors Lead to a Goal,Last Man Tackles,Clearances Off the Line,Assists,Passes,Passes per Game,Big Chances,Crosses,Cross Accuracy,Through Balls,Accurate Long Balls,Goalie Goals,Yellows,Reds,Fouls,Offsides,Saves,Penalties Saved,Punches,High claims,Catches,Sweeper Clearances,Throw Outs,Goal Kicks
Marlon Harewood,2008,Forward,6,3,3,England,0,0,0,0,0,0.0,0,0,2,1,50,0,4,0,3,0,0,,,,,,,,,,,,,,0,27,4.5,0,0,,,,,0,0,1,0,,,,,,,,
Ritchie de Laet,2008,Defender,1,1,0,Belgium,0,0,0,0,0,,,,,,,,4,0,1,15,7,75,3,9,10,1,4,3,0,0,0,0,0,0,0,25,25.0,0,2,50,0,1,,0,0,0,0,,,,,,,,
Carlos Vela,2008,Forward,14,6,4,Mexico,1,0,0,1,0,0.07,0,0,13,4,31,0,9,4,7,2,1,,,,,,,,,,,,,,0,186,13.29,0,30,,,,,1,0,6,1,,,,,,,,
Haris Vuckic,2008,Forward,0,0,0,Slovenia,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,0.0,0,0,,,,,0,0,0,0,,,,,,,,
Daniel Sturridge,2008,Forward,16,6,8,England,4,0,0,4,1,0.25,1,0,22,9,41,0,2,5,3,0,0,,,,,,,,,,,,,,3,142,8.88,0,7,,,,,0,0,6,3,,,,,,,,
Kim Do-Heon,2008,Midfielder,16,3,10,South Korea,0,0,0,0,1,0.0,0,0,14,2,14,0,20,9,13,6,1,60,38,38,59,3,1,4,,,,0,,,0,307,19.19,0,18,11,7,16,,1,0,7,0,,,,,,,,
Kevin Davies,2008,Forward,38,11,19,England,12,6,6,0,1,0.32,0,0,61,25,41,0,77,9,24,61,18,,,,,,,,,,,,,,4,1325,34.87,0,77,,,,,4,0,117,18,,,,,,,,
Stephen Ireland,2008,Midfielder,35,13,17,Ireland,9,0,7,2,2,0.26,0,0,63,26,41,0,145,8,88,54,9,72,129,202,177,17,10,26,,,,0,,,9,1470,42.0,0,62,19,42,66,,8,0,44,9,,,,,,,,
Sanchez Watt,2008,Midfielder,0,0,0,England,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,0,0,0.0,0,0,0,0,0,,0,0,0,0,,,,,,,,
John Pantsil,2008,Defender,37,14,13,Ghana,0,0,0,0,0,,,,,,,,101,1,75,243,70,72,200,174,154,24,20,38,14,34,0,2,2,3,1,1720,46.49,0,107,21,2,94,,7,0,41,1,,,,,,,,
