Name,Year,Position,Appearances,Wins,Losses,Nationality,Goals,Headed Goals,Right Footed Goals,Left Footed Goals,Hit Woodwork,Goals per Match,Penalties Scored,Freekicks Scored,Shots,Shots on Target,Shooting Accuracy,Big Chances Missed,Tackles,Blocked Shots,Interceptions,Clearances,Headed Clearances,Tackle Success,Recoveries,Duels Won,Duels Lost,Successful 50/50s,Aerials Battles Won,Aerial Battles Lost,Clean Sheets,Goals Conceded,Own Goals,Errors Lead to a Goal,Last Man Tackles,Clearances Off the Line,Assists,Passes,Passes per Game,Big Chances,Crosses,Cross Accuracy,Through Balls,Accurate Long Balls,Goalie Goals,Yellows,Reds,Fouls,Offsides,Saves,Penalties Saved,Punches,High claims,Catches,Sweeper Clearances,Throw Outs,Goal Kicks
Marlon Harewood,2009,Forward,0,0,0,England,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,0.0,0,0,,,,,0,0,0,0,,,,,,,,
Ritchie de Laet,2009,Defender,2,1,1,Belgium,0,0,0,0,0,,,,,,,,9,1,5,12,4,67,7,17,12,3,4,3,1,2,0,0,0,0,0,103,51.5,0,3,0,1,2,,0,0,3,0,,,,,,,,
Carlos Vela,2009,Forward,11,7,3,Mexico,1,0,0,1,0,0.09,0,0,5,2,40,0,3,1,1,1,0,,,,,,,,,,,,,,0,100,9.09,0,7,,,,,0,0,7,2,,,,,,,,
Daniel Sturridge,2009,Forward,13,7,2,England,1,0,0,1,0,0.08,0,0,16,6,38,0,2,4,1,2,0,,,,,,,,,,,,,,0,77,5.92,0,12,,,,,0,0,3,0,,,,,,,,
Kevin Davies,2009,Forward,37,10,18,England,7,4,1,2,2,0.19,1,0,71,21,30,0,61,18,25,49,21,,,,,,,,,,,,,,7,1413,38.19,0,79,,,,,9,0,121,24,,,,,,,,
Nikki Ahamed,2009,Midfielder,0,0,0,Sri Lanka,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,0,0,0.0,0,0,0,0,0,,0,0,0,0,,,,,,,,
Stephen Ireland,2009,Midfielder,22,8,5,Ireland,2,0,2,0,0,0.09,0,0,16,5,31,0,35,3,43,17,3,80,78,56,58,3,5,11,,,,0,,,2,699,31.77,0,3,67,29,46,,0,0,7,2,,,,,,,,
Alberto Aquilani,2009,Midfielder,18,8,4,Italy,1,0,0,1,2,0.06,0,0,27,7,26,0,28,8,15,3,0,64,63,63,58,5,8,13,,,,0,,,6,561,31.17,0,12,25,8,36,,0,0,9,0,,,,,,,,
Sanchez Watt,2009,Midfielder,0,0,0,England,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,0,0,0.0,0,0,0,0,0,,0,0,0,0,,,,,,,,
John Pantsil,2009,Defender,22,8,8,Ghana,0,0,0,0,0,,,,,,,,50,2,45,120,24,78,102,112,77,19,16,26,6,24,1,0,1,0,1,941,42.77,0,56,30,2,39,,5,0,21,0,,,,,,,,
Sylvain Distin,2009,Defender,32,14,10,France,0,0,0,0,0,,,,,,,,59,0,84,418,118,78,111,178,84,9,85,55,8,39,0,2,5,2,1,1086,33.94,0,8,13,0,115,,2,0,15,1,,,,,,,,
George Friend,2009,Defender,1,0,1,England,0,0,0,0,0,,,,,,,,3,0,1,0,0,67,2,3,10,0,0,2,0,2,0,0,0,0,0,21,21.0,0,2,0,0,1,,0,0,1,0,,,,,,,,
Will Atkinson,2009,Midfielder,2,0,0,England,1,1,0,0,0,0.5,0,0,2,2,100,0,6,0,2,0,0,83,11,11,22,0,2,8,,,,0,,,0,55,27.5,0,1,100,0,1,,1,0,4,0,,,,,,,,
Vladimir Weiss,2009,Forward,13,5,5,Slovakia,0,0,0,0,0,0.0,0,0,4,1,25,0,16,1,8,2,0,,,,,,,,,,,,,,3,104,8.0,0,35,,,,,0,0,3,0,,,,,,,,
Julio Santa Cruz,2009,Forward,0,0,0,Paraguay,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,0.0,0,0,,,,,0,0,0,0,,,,,,,,
Frédéric Nimani,2009,Forward,2,0,2,Central African Republic,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,,0,18,9.0,0,1,,,,,1,0,3,1,,,,,,,,
Ryan Connor,2009,Defender,0,0,0,England,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,,0,0,0,0,,,,,,,,
Paul Robinson,2009,Goalkeeper,35,11,14,England,,,,,,,,,,,,,,,,,,,,,,,,,12,50,0,1,,,1,856,24.46,,,,,252,0,1,0,0,,106,0,31,44,23,28,82,300
